VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,1367,2005-10-12T00:00:00Z,2009-09-29T00:00:00Z,0.9,0,1.32
precipitation,Basin Precip,installed-sensor,mm,6432,2000-03-27T00:00:00Z,2020-01-01T00:00:00Z,0.9,0,0.17
Br,Bromide,grab-nonsensor,mg/L,1326,2008-06-24T00:00:00Z,2016-12-13T00:00:00Z,0.4,0,93.97
Cl,Chloride,grab-nonsensor,mg/L,2743,2006-09-11T00:00:00Z,2017-12-04T00:00:00Z,0.7,0,94.42
DO,Dissolved Oxygen,installed-sensor,mg/L,25,2006-04-23T00:00:00Z,2006-05-17T00:00:00Z,1,0,0
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,2731,2005-10-21T00:00:00Z,2017-12-04T00:00:00Z,0.6,0,94.21
DON,Dissolved Organic Nitrogen,grab-nonsensor,mg/L,2586,2006-09-11T00:00:00Z,2017-12-04T00:00:00Z,0.6,0,94.39
NH4_N,Ammonium-N,grab-nonsensor,mg/L,2914,2005-10-21T00:00:00Z,2017-12-04T00:00:00Z,0.7,0,94.2
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,3234,2005-09-30T00:00:00Z,2017-12-04T00:00:00Z,0.7,0.09,81.69
PO4_P,Phosphate-P,grab-nonsensor,mg/L,2936,2005-10-21T00:00:00Z,2017-12-04T00:00:00Z,0.7,0,94.21
POC,Particulate Organic Carbon,grab-nonsensor,mg/L,1723,2006-12-22T00:00:00Z,2017-12-04T00:00:00Z,0.4,0,94.66
PON,Particulate Organic Nitrogen,grab-nonsensor,mg/L,1723,2006-12-22T00:00:00Z,2017-12-04T00:00:00Z,0.4,0,94.66
SO4_S,Sulfate-S,grab-nonsensor,mg/L,2743,2006-09-11T00:00:00Z,2017-12-04T00:00:00Z,0.7,0,94.42
spCond,Specific Conductivity,installed-sensor,uS/cm,169,2005-10-12T00:00:00Z,2006-07-27T00:00:00Z,0.6,0,14.79
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,2832,2005-10-21T00:00:00Z,2017-12-04T00:00:00Z,0.6,0,94.31
temp,Water Temperature,all,degrees C,3262,2005-10-12T00:00:00Z,2015-11-24T00:00:00Z,0.9,0,25.34
temp,Water Temperature,grab-sensor,degrees C,357,2013-01-10T00:00:00Z,2014-01-01T00:00:00Z,1,0,24.65
temp,Water Temperature,installed-sensor,degrees C,2905,2005-10-12T00:00:00Z,2015-11-24T00:00:00Z,0.8,0,0.69
TN,Total Nitrogen,grab-nonsensor,mg/L,718,2005-09-30T00:00:00Z,2016-04-20T00:00:00Z,0.2,0.56,50.14
TOC,Total Organic Carbon,grab-nonsensor,mg/L,603,2005-09-30T00:00:00Z,2015-04-15T00:00:00Z,0.2,0.66,42.95
TP,Total Phosphorus,grab-nonsensor,mg/L,878,2005-09-30T00:00:00Z,2016-04-20T00:00:00Z,0.2,0.34,50.11
TSS,Total Suspended Solids,grab-nonsensor,mg/L,2500,2006-12-22T00:00:00Z,2019-08-01T00:00:00Z,0.5,0,94.44
Br,Bromide,grab-nonsensor,mg/L,210,2008-06-24T00:00:00Z,2009-04-01T00:00:00Z,0.7,0,94.76
Cl,Chloride,grab-nonsensor,mg/L,963,2006-09-11T00:00:00Z,2009-09-29T00:00:00Z,0.9,0,94.81
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1131,2005-10-21T00:00:00Z,2009-09-29T00:00:00Z,0.8,0,94.61
DON,Dissolved Organic Nitrogen,grab-nonsensor,mg/L,1009,2006-09-11T00:00:00Z,2009-09-29T00:00:00Z,0.9,0,94.85
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1109,2005-10-21T00:00:00Z,2009-09-29T00:00:00Z,0.8,0,94.59
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,1323,2005-10-12T00:00:00Z,2009-09-29T00:00:00Z,0.9,0.23,64.63
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1131,2005-10-21T00:00:00Z,2009-09-29T00:00:00Z,0.8,0,94.61
POC,Particulate Organic Carbon,grab-nonsensor,mg/L,596,2006-12-22T00:00:00Z,2009-07-22T00:00:00Z,0.6,0,94.46
PON,Particulate Organic Nitrogen,grab-nonsensor,mg/L,596,2006-12-22T00:00:00Z,2009-07-22T00:00:00Z,0.6,0,94.46
SO4_S,Sulfate-S,grab-nonsensor,mg/L,963,2006-09-11T00:00:00Z,2009-09-29T00:00:00Z,0.9,0,94.81
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,1131,2005-10-21T00:00:00Z,2009-09-29T00:00:00Z,0.8,0,94.61
TN,Total Nitrogen,grab-nonsensor,mg/L,637,2005-10-12T00:00:00Z,2009-02-25T00:00:00Z,0.5,0.63,46.94
TOC,Total Organic Carbon,grab-nonsensor,mg/L,581,2005-10-12T00:00:00Z,2008-03-24T00:00:00Z,0.6,0.69,42.51
TP,Total Phosphorus,grab-nonsensor,mg/L,774,2005-10-12T00:00:00Z,2009-02-25T00:00:00Z,0.6,0.39,46.12
