VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,all,L/s,4437,2001-06-22T00:00:00Z,2015-11-24T00:00:00Z,0.8,0,24.11
discharge,Discharge,grab-sensor,L/s,238,2005-01-01T00:00:00Z,2005-12-23T00:00:00Z,0.7,0,21.85
discharge,Discharge,installed-sensor,L/s,4199,2001-06-22T00:00:00Z,2015-11-24T00:00:00Z,0.8,0,2.26
precipitation,Basin Precip,installed-sensor,mm,6432,2000-03-27T00:00:00Z,2020-01-01T00:00:00Z,0.9,0,0.17
Br,Bromide,grab-nonsensor,mg/L,1416,2008-06-24T00:00:00Z,2016-12-13T00:00:00Z,0.5,0,94.28
Cl,Chloride,grab-nonsensor,mg/L,2863,2006-09-13T00:00:00Z,2017-12-03T00:00:00Z,0.7,0,94.59
DO,Dissolved Oxygen,all,mg/L,1994,2001-06-22T00:00:00Z,2018-11-06T00:00:00Z,0.3,0,4.92
DO,Dissolved Oxygen,grab-sensor,mg/L,22,2005-09-11T00:00:00Z,2005-10-02T00:00:00Z,1,0,0
DO,Dissolved Oxygen,installed-sensor,mg/L,1972,2001-06-22T00:00:00Z,2018-11-06T00:00:00Z,0.3,0,4.92
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,3291,2001-11-01T00:00:00Z,2017-12-03T00:00:00Z,0.6,0,93.95
DON,Dissolved Organic Nitrogen,grab-nonsensor,mg/L,2872,2006-09-13T00:00:00Z,2017-12-03T00:00:00Z,0.7,0,94.78
NH4_N,Ammonium-N,grab-nonsensor,mg/L,3821,2001-06-12T00:00:00Z,2017-12-03T00:00:00Z,0.6,0,93.75
NO2_N,Nitrite-N,grab-nonsensor,mg/L,358,2001-06-12T00:00:00Z,2002-08-14T00:00:00Z,0.8,0,90.22
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,4484,2001-06-12T00:00:00Z,2017-12-03T00:00:00Z,0.7,0.4,86.37
pH,pH,installed-sensor,unitless,687,2001-06-22T00:00:00Z,2003-12-23T00:00:00Z,0.8,0,11.21
PO4_P,Phosphate-P,grab-nonsensor,mg/L,3683,2001-06-12T00:00:00Z,2017-12-03T00:00:00Z,0.6,0,93.65
POC,Particulate Organic Carbon,grab-nonsensor,mg/L,1668,2006-12-22T00:00:00Z,2017-12-03T00:00:00Z,0.4,0,94.36
PON,Particulate Organic Nitrogen,grab-nonsensor,mg/L,1668,2006-12-22T00:00:00Z,2017-12-03T00:00:00Z,0.4,0,94.36
Si,Silicon,grab-nonsensor,mg/L,281,2001-06-21T00:00:00Z,2002-08-14T00:00:00Z,0.7,0,91.1
SO4_S,Sulfate-S,grab-nonsensor,mg/L,2863,2006-09-13T00:00:00Z,2017-12-03T00:00:00Z,0.7,0,94.59
spCond,Specific Conductivity,all,uS/cm,2815,2001-06-22T00:00:00Z,2017-08-04T00:00:00Z,0.5,0,3.68
spCond,Specific Conductivity,grab-sensor,uS/cm,73,2005-09-11T00:00:00Z,2005-12-23T00:00:00Z,0.7,0,0
spCond,Specific Conductivity,installed-sensor,uS/cm,2742,2001-06-22T00:00:00Z,2017-08-04T00:00:00Z,0.5,0,3.68
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,3291,2001-11-01T00:00:00Z,2017-12-03T00:00:00Z,0.6,0,93.95
temp,Water Temperature,all,degrees C,5130,2001-06-22T00:00:00Z,2018-11-06T00:00:00Z,0.8,0.06,2.87
temp,Water Temperature,grab-sensor,degrees C,73,2005-09-11T00:00:00Z,2005-12-23T00:00:00Z,0.7,0,0
temp,Water Temperature,installed-sensor,degrees C,5057,2001-06-22T00:00:00Z,2018-11-06T00:00:00Z,0.8,0.06,2.87
TN,Total Nitrogen,grab-nonsensor,mg/L,963,2001-11-12T00:00:00Z,2016-03-24T00:00:00Z,0.2,3.32,66.87
TOC,Total Organic Carbon,grab-nonsensor,mg/L,563,2002-06-10T00:00:00Z,2015-04-06T00:00:00Z,0.1,0,61.81
TP,Total Phosphorus,grab-nonsensor,mg/L,1034,2001-11-12T00:00:00Z,2016-03-24T00:00:00Z,0.2,2.8,60.83
TSS,Total Suspended Solids,grab-nonsensor,mg/L,2552,2006-12-22T00:00:00Z,2019-07-29T00:00:00Z,0.6,0,94.47
Br,Bromide,grab-nonsensor,mg/L,1103,2008-06-24T00:00:00Z,2015-11-24T00:00:00Z,0.4,0,94.47
Cl,Chloride,grab-nonsensor,mg/L,2239,2006-09-13T00:00:00Z,2015-11-24T00:00:00Z,0.7,0,94.64
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,2582,2001-11-01T00:00:00Z,2015-11-24T00:00:00Z,0.5,0,94.58
DON,Dissolved Organic Nitrogen,grab-nonsensor,mg/L,2248,2006-09-13T00:00:00Z,2015-11-24T00:00:00Z,0.7,0,94.88
NH4_N,Ammonium-N,grab-nonsensor,mg/L,2925,2001-06-22T00:00:00Z,2015-11-24T00:00:00Z,0.6,0,94.32
NO2_N,Nitrite-N,grab-nonsensor,mg/L,194,2001-06-22T00:00:00Z,2002-01-01T00:00:00Z,1,0,91.75
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,3214,2001-06-22T00:00:00Z,2015-11-24T00:00:00Z,0.6,0.53,89.92
PO4_P,Phosphate-P,grab-nonsensor,mg/L,2786,2001-06-22T00:00:00Z,2015-11-24T00:00:00Z,0.5,0,94.22
POC,Particulate Organic Carbon,grab-nonsensor,mg/L,1290,2006-12-22T00:00:00Z,2015-11-24T00:00:00Z,0.4,0,94.34
PON,Particulate Organic Nitrogen,grab-nonsensor,mg/L,1290,2006-12-22T00:00:00Z,2015-11-24T00:00:00Z,0.4,0,94.34
Si,Silicon,grab-nonsensor,mg/L,126,2001-06-22T00:00:00Z,2002-01-01T00:00:00Z,0.7,0,91.27
SO4_S,Sulfate-S,grab-nonsensor,mg/L,2239,2006-09-13T00:00:00Z,2015-11-24T00:00:00Z,0.7,0,94.64
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,2582,2001-11-01T00:00:00Z,2015-11-24T00:00:00Z,0.5,0,94.58
TN,Total Nitrogen,grab-nonsensor,mg/L,522,2001-11-12T00:00:00Z,2015-04-06T00:00:00Z,0.1,4.79,75.48
TOC,Total Organic Carbon,grab-nonsensor,mg/L,311,2003-03-20T00:00:00Z,2015-04-06T00:00:00Z,0.1,0,74.28
TP,Total Phosphorus,grab-nonsensor,mg/L,593,2001-11-12T00:00:00Z,2015-04-06T00:00:00Z,0.1,4.22,70.49
