VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,3498,1999-02-25T00:00:00Z,2017-11-17T00:00:00Z,0.5,8.63,93.88
DON,Dissolved Organic Nitrogen,grab-nonsensor,mg/L,3339,1999-02-25T00:00:00Z,2017-11-17T00:00:00Z,0.5,9.04,93.77
DOP,Dissolved Organic Phosphorus,grab-nonsensor,mg/L,3683,1999-02-25T00:00:00Z,2017-12-09T00:00:00Z,0.5,8.2,94.08
NH4_N,Ammonium-N,grab-nonsensor,mg/L,3740,1999-02-25T00:00:00Z,2017-12-09T00:00:00Z,0.5,8.07,94.12
NO3_N,Nitrate-N,grab-nonsensor,mg/L,3653,1999-02-25T00:00:00Z,2017-12-09T00:00:00Z,0.5,8.27,94.06
PO4_P,Phosphate-P,grab-nonsensor,mg/L,3740,1999-02-25T00:00:00Z,2017-12-09T00:00:00Z,0.5,8.07,94.12
POC,Particulate Organic Carbon,grab-nonsensor,mg/L,3660,1999-02-25T00:00:00Z,2017-12-09T00:00:00Z,0.5,8.25,94.04
PON,Particulate Organic Nitrogen,grab-nonsensor,mg/L,3602,1999-02-25T00:00:00Z,2017-12-09T00:00:00Z,0.5,8.38,94.03
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,3498,1999-02-25T00:00:00Z,2017-11-17T00:00:00Z,0.5,8.63,93.88
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,3683,1999-02-25T00:00:00Z,2017-12-09T00:00:00Z,0.5,8.2,94.08
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,3532,2000-01-13T00:00:00Z,2017-12-09T00:00:00Z,0.5,8.55,94.05
TSS,Total Suspended Solids,grab-nonsensor,mg/L,3605,1999-02-25T00:00:00Z,2017-12-09T00:00:00Z,0.5,7.63,93.98
