VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf,0,0
DON,Dissolved Organic Nitrogen,grab-nonsensor,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf,0,0
DOP,Dissolved Organic Phosphorus,grab-nonsensor,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf,0,0
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf,0,0
NO3_N,Nitrate-N,grab-nonsensor,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf,0,0
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf,0,0
POC,Particulate Organic Carbon,grab-nonsensor,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf,0,0
PON,Particulate Organic Nitrogen,grab-nonsensor,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf,0,0
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf,0,0
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf,0,0
TSS,Total Suspended Solids,grab-nonsensor,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf,0,0
