VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,5669,2001-11-20T00:00:00Z,2018-10-01T00:00:00Z,0.9,0,1.66
precipitation,Basin Precip,installed-sensor,mm,6210,2000-10-01T00:00:00Z,2017-10-01T00:00:00Z,1,0,2.32
NH4_N,Ammonium-N,grab-nonsensor,mg/L,4992,2000-10-23T00:00:00Z,2018-07-29T00:00:00Z,0.8,0,83.23
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,5120,2000-10-23T00:00:00Z,2018-07-29T00:00:00Z,0.8,0,83.48
PO4_P,Phosphate-P,grab-nonsensor,mg/L,5038,2000-10-26T00:00:00Z,2018-07-29T00:00:00Z,0.8,0,83.29
spCond,Specific Conductivity,grab-nonsensor,uS/cm,4535,2000-11-12T00:00:00Z,2018-07-29T00:00:00Z,0.7,0,83.33
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,3377,2000-10-26T00:00:00Z,2015-04-08T00:00:00Z,0.6,0,82.32
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,3185,2000-10-26T00:00:00Z,2012-06-28T00:00:00Z,0.7,0,82.29
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,675,2001-02-11T00:00:00Z,2010-12-24T00:00:00Z,0.2,0,77.63
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,675,2001-02-11T00:00:00Z,2010-12-24T00:00:00Z,0.2,0,77.63
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,507,2001-02-11T00:00:00Z,2003-04-15T00:00:00Z,0.6,0,76.92
TSS,Total Suspended Solids,grab-nonsensor,mg/L,708,2001-02-20T00:00:00Z,2018-03-26T00:00:00Z,0.1,0,68.93
NH4_N,Ammonium-N,grab-nonsensor,mg/L,4591,2001-11-20T00:00:00Z,2018-07-29T00:00:00Z,0.8,0,83.6
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,4698,2001-11-20T00:00:00Z,2018-07-29T00:00:00Z,0.8,0,83.82
PO4_P,Phosphate-P,grab-nonsensor,mg/L,4619,2001-11-20T00:00:00Z,2018-07-29T00:00:00Z,0.8,0,83.61
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,2979,2001-11-20T00:00:00Z,2015-04-08T00:00:00Z,0.6,0,82.71
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,2787,2001-11-20T00:00:00Z,2012-06-28T00:00:00Z,0.7,0,82.71
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,577,2001-11-20T00:00:00Z,2010-12-24T00:00:00Z,0.2,0,78.68
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,577,2001-11-20T00:00:00Z,2010-12-24T00:00:00Z,0.2,0,78.68
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,394,2001-11-20T00:00:00Z,2003-04-15T00:00:00Z,0.8,0,77.16
