VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,4581,2004-10-26T00:00:00Z,2018-10-01T00:00:00Z,0.9,0,1.46
precipitation,Basin Precip,installed-sensor,mm,6210,2000-10-01T00:00:00Z,2017-10-01T00:00:00Z,1,0,2.32
NH4_N,Ammonium-N,grab-nonsensor,mg/L,3536,2004-10-14T00:00:00Z,2018-06-08T00:00:00Z,0.7,0,85.41
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,3506,2004-10-14T00:00:00Z,2018-06-08T00:00:00Z,0.7,0,85.45
PO4_P,Phosphate-P,grab-nonsensor,mg/L,3563,2004-10-14T00:00:00Z,2018-06-08T00:00:00Z,0.7,0,85.49
spCond,Specific Conductivity,grab-nonsensor,uS/cm,3684,2004-10-14T00:00:00Z,2018-06-08T00:00:00Z,0.7,0,85.8
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,2350,2004-10-14T00:00:00Z,2015-03-04T00:00:00Z,0.6,0,85.28
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,2355,2004-10-14T00:00:00Z,2012-06-28T00:00:00Z,0.8,0,85.61
TSS,Total Suspended Solids,grab-nonsensor,mg/L,513,2005-11-08T00:00:00Z,2018-03-24T00:00:00Z,0.1,0,73.88
NH4_N,Ammonium-N,grab-nonsensor,mg/L,3126,2004-10-26T00:00:00Z,2018-06-08T00:00:00Z,0.6,0,84.87
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,3096,2004-10-26T00:00:00Z,2018-06-08T00:00:00Z,0.6,0,84.92
PO4_P,Phosphate-P,grab-nonsensor,mg/L,3153,2004-10-26T00:00:00Z,2018-06-08T00:00:00Z,0.6,0,85
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,1940,2004-10-26T00:00:00Z,2015-03-04T00:00:00Z,0.5,0,84.38
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1945,2004-10-26T00:00:00Z,2012-06-28T00:00:00Z,0.7,0,84.83
