VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,1097,2003-10-01T00:00:00Z,2006-10-01T00:00:00Z,1,0,0
precipitation,Basin Precip,installed-sensor,mm,6210,2000-10-01T00:00:00Z,2017-10-01T00:00:00Z,1,0,2.32
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1203,2003-10-09T00:00:00Z,2009-02-15T00:00:00Z,0.6,0,82.04
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,1203,2003-10-09T00:00:00Z,2009-02-15T00:00:00Z,0.6,0,82.04
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1203,2003-10-09T00:00:00Z,2009-02-15T00:00:00Z,0.6,0,82.04
spCond,Specific Conductivity,grab-nonsensor,uS/cm,1202,2003-10-09T00:00:00Z,2009-02-15T00:00:00Z,0.6,0,82.36
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,1203,2003-10-09T00:00:00Z,2009-02-15T00:00:00Z,0.6,0,81.96
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1203,2003-10-09T00:00:00Z,2009-02-15T00:00:00Z,0.6,0,81.96
TSS,Total Suspended Solids,grab-nonsensor,mg/L,942,2003-11-01T00:00:00Z,2007-03-01T00:00:00Z,0.8,0,79.62
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1089,2003-10-09T00:00:00Z,2006-10-01T00:00:00Z,1,0,82.74
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,1089,2003-10-09T00:00:00Z,2006-10-01T00:00:00Z,1,0,82.74
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1089,2003-10-09T00:00:00Z,2006-10-01T00:00:00Z,1,0,82.74
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,1089,2003-10-09T00:00:00Z,2006-10-01T00:00:00Z,1,0,82.64
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1089,2003-10-09T00:00:00Z,2006-10-01T00:00:00Z,1,0,82.64
