VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,4622,2001-10-18T00:00:00Z,2016-11-11T00:00:00Z,0.8,0,0.04
precipitation,Basin Precip,installed-sensor,mm,6210,2000-10-01T00:00:00Z,2017-10-01T00:00:00Z,1,0,2.32
NH4_N,Ammonium-N,grab-nonsensor,mg/L,4076,2001-11-22T00:00:00Z,2017-09-29T00:00:00Z,0.7,0,84.27
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,4199,2001-11-22T00:00:00Z,2017-09-29T00:00:00Z,0.7,0,84.59
PO4_P,Phosphate-P,grab-nonsensor,mg/L,4151,2001-11-22T00:00:00Z,2017-09-29T00:00:00Z,0.7,0,84.46
spCond,Specific Conductivity,grab-nonsensor,uS/cm,3964,2002-08-28T00:00:00Z,2017-09-29T00:00:00Z,0.7,0,84.11
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,3191,2001-11-22T00:00:00Z,2014-12-13T00:00:00Z,0.7,0,83.27
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,3183,2001-11-22T00:00:00Z,2012-05-29T00:00:00Z,0.8,0,83.47
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,700,2001-11-22T00:00:00Z,2005-09-22T00:00:00Z,0.5,0,73.86
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,700,2001-11-22T00:00:00Z,2005-09-22T00:00:00Z,0.5,0,73.86
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,534,2002-04-25T00:00:00Z,2005-09-22T00:00:00Z,0.4,0,72.85
TSS,Total Suspended Solids,grab-nonsensor,mg/L,423,2003-02-13T00:00:00Z,2017-02-19T00:00:00Z,0.1,0,61.47
NH4_N,Ammonium-N,grab-nonsensor,mg/L,3180,2001-11-22T00:00:00Z,2016-05-20T00:00:00Z,0.6,0,82.39
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,3303,2001-11-22T00:00:00Z,2016-05-20T00:00:00Z,0.6,0,82.86
PO4_P,Phosphate-P,grab-nonsensor,mg/L,3255,2001-11-22T00:00:00Z,2016-05-20T00:00:00Z,0.6,0,82.67
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,2574,2001-11-22T00:00:00Z,2014-12-13T00:00:00Z,0.5,0,81.31
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,2566,2001-11-22T00:00:00Z,2012-05-29T00:00:00Z,0.7,0,81.57
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,700,2001-11-22T00:00:00Z,2005-09-22T00:00:00Z,0.5,0,73.86
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,700,2001-11-22T00:00:00Z,2005-09-22T00:00:00Z,0.5,0,73.86
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,534,2002-04-25T00:00:00Z,2005-09-22T00:00:00Z,0.4,0,72.85
