VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,4927,2001-10-18T00:00:00Z,2018-10-01T00:00:00Z,0.8,0,1.42
precipitation,Basin Precip,installed-sensor,mm,6210,2000-10-01T00:00:00Z,2017-10-01T00:00:00Z,1,0,2.32
NH4_N,Ammonium-N,grab-nonsensor,mg/L,4161,2000-11-12T00:00:00Z,2018-07-29T00:00:00Z,0.6,0,88.66
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,4247,2000-11-12T00:00:00Z,2018-07-29T00:00:00Z,0.7,0,88.77
PO4_P,Phosphate-P,grab-nonsensor,mg/L,4167,2000-11-12T00:00:00Z,2018-07-29T00:00:00Z,0.6,0,88.65
spCond,Specific Conductivity,grab-nonsensor,uS/cm,3987,2000-11-18T00:00:00Z,2018-07-29T00:00:00Z,0.6,0,88.64
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,2379,2000-11-12T00:00:00Z,2014-12-19T00:00:00Z,0.5,0,89.66
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,2371,2000-11-12T00:00:00Z,2012-06-28T00:00:00Z,0.6,0,89.96
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,358,2001-03-18T00:00:00Z,2005-09-22T00:00:00Z,0.2,0,90.22
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,358,2001-03-18T00:00:00Z,2005-09-22T00:00:00Z,0.2,0,90.22
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,140,2002-05-07T00:00:00Z,2005-09-22T00:00:00Z,0.1,0,88.57
TSS,Total Suspended Solids,grab-nonsensor,mg/L,87,2005-01-22T00:00:00Z,2018-03-24T00:00:00Z,0,0,60.92
NH4_N,Ammonium-N,grab-nonsensor,mg/L,3411,2001-12-28T00:00:00Z,2018-07-29T00:00:00Z,0.6,0,88.21
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,3497,2001-12-28T00:00:00Z,2018-07-29T00:00:00Z,0.6,0,88.39
PO4_P,Phosphate-P,grab-nonsensor,mg/L,3417,2001-12-28T00:00:00Z,2018-07-29T00:00:00Z,0.6,0,88.24
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,1745,2001-12-28T00:00:00Z,2014-12-19T00:00:00Z,0.4,0,89.34
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1737,2001-12-28T00:00:00Z,2012-06-28T00:00:00Z,0.5,0,89.75
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,300,2001-12-28T00:00:00Z,2005-09-22T00:00:00Z,0.2,0,90.67
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,300,2001-12-28T00:00:00Z,2005-09-22T00:00:00Z,0.2,0,90.67
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,140,2002-05-07T00:00:00Z,2005-09-22T00:00:00Z,0.1,0,88.57
