VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,1826,2004-10-01T00:00:00Z,2010-09-30T00:00:00Z,0.8,0,0
precipitation,Basin Precip,installed-sensor,mm,6210,2000-10-01T00:00:00Z,2017-10-01T00:00:00Z,1,0,2.32
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1666,2004-10-14T00:00:00Z,2010-01-07T00:00:00Z,0.9,0,82.65
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,1666,2004-10-14T00:00:00Z,2010-01-07T00:00:00Z,0.9,0,82.65
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1666,2004-10-14T00:00:00Z,2010-01-07T00:00:00Z,0.9,0,82.65
spCond,Specific Conductivity,grab-nonsensor,uS/cm,1348,2004-10-14T00:00:00Z,2010-01-07T00:00:00Z,0.7,0,79.97
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,1521,2004-10-14T00:00:00Z,2010-01-07T00:00:00Z,0.8,0,81.39
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1521,2004-10-14T00:00:00Z,2010-01-07T00:00:00Z,0.8,0,81.39
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,273,2004-10-14T00:00:00Z,2005-09-22T00:00:00Z,0.8,0,71.43
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,273,2004-10-14T00:00:00Z,2005-09-22T00:00:00Z,0.8,0,71.43
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,273,2004-10-14T00:00:00Z,2005-09-22T00:00:00Z,0.8,0,72.16
TSS,Total Suspended Solids,grab-nonsensor,mg/L,226,2004-10-20T00:00:00Z,2009-12-13T00:00:00Z,0.1,0,62.39
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1335,2004-10-14T00:00:00Z,2010-01-07T00:00:00Z,0.7,0,80.45
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,1335,2004-10-14T00:00:00Z,2010-01-07T00:00:00Z,0.7,0,80.45
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1335,2004-10-14T00:00:00Z,2010-01-07T00:00:00Z,0.7,0,80.45
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,1342,2004-10-14T00:00:00Z,2010-01-07T00:00:00Z,0.7,0,80.48
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1342,2004-10-14T00:00:00Z,2010-01-07T00:00:00Z,0.7,0,80.48
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,273,2004-10-14T00:00:00Z,2005-09-22T00:00:00Z,0.8,0,71.43
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,273,2004-10-14T00:00:00Z,2005-09-22T00:00:00Z,0.8,0,71.43
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,273,2004-10-14T00:00:00Z,2005-09-22T00:00:00Z,0.8,0,72.16
