VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
discharge,Discharge,installed-sensor,L/s,4908,2001-10-18T00:00:00Z,2018-10-01T00:00:00Z,0.8,0,1.28
precipitation,Basin Precip,installed-sensor,mm,6210,2000-10-01T00:00:00Z,2017-10-01T00:00:00Z,1,0,2.32
NH4_N,Ammonium-N,grab-nonsensor,mg/L,4699,2000-10-23T00:00:00Z,2018-06-08T00:00:00Z,0.7,0,84.36
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,4846,2000-10-23T00:00:00Z,2018-06-08T00:00:00Z,0.8,0,84.69
PO4_P,Phosphate-P,grab-nonsensor,mg/L,4776,2000-11-18T00:00:00Z,2018-06-08T00:00:00Z,0.7,0,84.55
spCond,Specific Conductivity,grab-nonsensor,uS/cm,4149,2000-11-18T00:00:00Z,2018-06-08T00:00:00Z,0.6,0,83.68
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,3847,2000-10-23T00:00:00Z,2015-03-19T00:00:00Z,0.7,0,84.07
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,3765,2000-10-23T00:00:00Z,2012-06-28T00:00:00Z,0.9,0,84.14
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,937,2001-02-12T00:00:00Z,2005-09-22T00:00:00Z,0.6,0,80.36
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,937,2001-02-12T00:00:00Z,2005-09-22T00:00:00Z,0.6,0,80.36
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,602,2001-02-12T00:00:00Z,2005-09-22T00:00:00Z,0.4,0,75.91
TSS,Total Suspended Solids,grab-nonsensor,mg/L,191,2002-12-22T00:00:00Z,2018-03-24T00:00:00Z,0,0,70.16
NH4_N,Ammonium-N,grab-nonsensor,mg/L,3391,2001-11-30T00:00:00Z,2018-06-08T00:00:00Z,0.6,0,84.43
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,3391,2001-11-30T00:00:00Z,2018-06-08T00:00:00Z,0.6,0,84.43
PO4_P,Phosphate-P,grab-nonsensor,mg/L,3391,2001-11-30T00:00:00Z,2018-06-08T00:00:00Z,0.6,0,84.43
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,2610,2001-11-30T00:00:00Z,2015-03-19T00:00:00Z,0.5,0,83.98
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,2528,2001-11-30T00:00:00Z,2012-06-28T00:00:00Z,0.7,0,84.06
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,734,2001-11-30T00:00:00Z,2005-09-22T00:00:00Z,0.5,0,80.65
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,734,2001-11-30T00:00:00Z,2005-09-22T00:00:00Z,0.5,0,80.65
TPP,Total Particulate Phosphorus,grab-nonsensor,mg/L,466,2001-11-30T00:00:00Z,2005-09-22T00:00:00Z,0.3,0,79.4
