VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Br,Bromide,grab-nonsensor,mg/L,273,2019-04-09T00:00:00Z,2020-03-11T00:00:00Z,0.8,96.7,93.41
Ca,Calcium,grab-nonsensor,mg/L,273,2019-04-09T00:00:00Z,2020-03-11T00:00:00Z,0.8,78.75,93.41
Cl,Chloride,grab-nonsensor,mg/L,273,2019-04-09T00:00:00Z,2020-03-11T00:00:00Z,0.8,78.75,93.41
K,Potassium,grab-nonsensor,mg/L,273,2019-04-09T00:00:00Z,2020-03-11T00:00:00Z,0.8,78.75,93.41
Mg,Magnesium,grab-nonsensor,mg/L,273,2019-04-09T00:00:00Z,2020-03-11T00:00:00Z,0.8,78.75,93.41
Na,Sodium,grab-nonsensor,mg/L,273,2019-04-09T00:00:00Z,2020-03-11T00:00:00Z,0.8,78.75,93.41
NH4,Ammonium,grab-nonsensor,mg/L,305,2019-04-09T00:00:00Z,2020-03-11T00:00:00Z,0.9,78.03,93.77
NO3,Nitrate,grab-nonsensor,mg/L,273,2019-04-09T00:00:00Z,2020-03-11T00:00:00Z,0.8,78.75,93.41
PO4,Phosphate,grab-nonsensor,mg/L,305,2019-04-09T00:00:00Z,2020-03-11T00:00:00Z,0.9,86.89,93.77
SO4,Sulfate,grab-nonsensor,mg/L,273,2019-04-09T00:00:00Z,2020-03-11T00:00:00Z,0.8,78.75,93.41
precipitation,Basin Precip,installed-sensor,mm,1501,2016-05-15T00:00:00Z,2020-12-01T00:00:00Z,0.9,39.24,5.4
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,999,2016-10-05T00:00:00Z,2019-12-19T00:00:00Z,0.9,18.72,91.99
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,999,2016-10-05T00:00:00Z,2019-12-19T00:00:00Z,0.9,18.72,91.99
alk,Alkalinity,grab-nonsensor,mg/L,2170,2012-11-09T00:00:00Z,2020-10-07T00:00:00Z,0.8,28.85,92.4
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,2196,2012-02-01T00:00:00Z,2020-10-07T00:00:00Z,0.7,29.37,92.3
Br,Bromide,grab-nonsensor,mg/L,1373,2012-02-01T00:00:00Z,2019-12-19T00:00:00Z,0.5,14.06,91.99
Ca,Calcium,grab-nonsensor,mg/L,1387,2012-02-01T00:00:00Z,2019-12-19T00:00:00Z,0.5,13.91,92
CHL,Chlorophyll,installed-sensor,mg/L,1405,2016-08-13T00:00:00Z,2020-12-01T00:00:00Z,0.9,92.6,6.62
Cl,Chloride,grab-nonsensor,mg/L,1373,2012-02-01T00:00:00Z,2019-12-19T00:00:00Z,0.5,14.06,91.92
CO3,Carbonate,grab-nonsensor,mg/L,999,2016-10-05T00:00:00Z,2019-12-19T00:00:00Z,0.9,19.32,91.89
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,1510,2012-02-01T00:00:00Z,2020-03-11T00:00:00Z,0.5,17.28,92.19
DO,Dissolved Oxygen,installed-sensor,mg/L,1359,2016-08-13T00:00:00Z,2020-12-01T00:00:00Z,0.9,20.82,6.11
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1510,2012-02-01T00:00:00Z,2020-03-11T00:00:00Z,0.5,17.28,92.19
F,Fluorine,grab-nonsensor,mg/L,1330,2012-02-01T00:00:00Z,2019-12-19T00:00:00Z,0.5,14.51,91.95
FDOM,Fluorescent Dissolved Organic Matter,grab-sensor,QSU,1279,2016-08-24T00:00:00Z,2020-12-01T00:00:00Z,0.8,96.01,18.45
Fe,Iron,grab-nonsensor,mg/L,1387,2012-02-01T00:00:00Z,2019-12-19T00:00:00Z,0.5,13.91,92
