VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
precipitation,Basin Precip,installed-sensor,mm,754,2018-05-11T00:00:00Z,2020-12-01T00:00:00Z,0.8,24.93,0
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7,24.05,89.45
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7,24.05,89.45
alk,Alkalinity,grab-nonsensor,mg/L,526,2018-02-20T00:00:00Z,2020-07-08T00:00:00Z,0.6,0,89.73
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,555,2018-02-20T00:00:00Z,2020-07-08T00:00:00Z,0.6,21.98,90.09
Br,Bromide,grab-nonsensor,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7,24.05,89.45
Ca,Calcium,grab-nonsensor,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7,24.05,89.45
CHL,Chlorophyll,installed-sensor,mg/L,740,2018-05-26T00:00:00Z,2020-12-01T00:00:00Z,0.8,73.11,1.49
Cl,Chloride,grab-nonsensor,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7,24.05,89.45
CO3,Carbonate,grab-nonsensor,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7,24.05,89.45
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,504,2018-02-20T00:00:00Z,2020-03-11T00:00:00Z,0.7,28.57,89.48
DO,Dissolved Oxygen,installed-sensor,mg/L,740,2018-05-26T00:00:00Z,2020-12-01T00:00:00Z,0.8,15.68,1.49
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,504,2018-02-20T00:00:00Z,2020-03-11T00:00:00Z,0.7,28.57,89.48
F,Fluorine,grab-nonsensor,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7,24.05,89.45
FDOM,Fluorescent Dissolved Organic Matter,installed-sensor,QSU,740,2018-05-26T00:00:00Z,2020-12-01T00:00:00Z,0.8,77.16,1.49
Fe,Iron,grab-nonsensor,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7,24.05,89.45
HCO3,Bicarbonate,grab-nonsensor,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7,24.05,89.45
K,Potassium,grab-nonsensor,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7,24.05,89.45
Mg,Magnesium,grab-nonsensor,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7,24.05,89.45
Mn,Manganese,grab-nonsensor,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7,24.05,89.45
Na,Sodium,grab-nonsensor,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7,24.05,89.45
NH4_N,Ammonium-N,grab-nonsensor,mg/L,489,2018-02-20T00:00:00Z,2020-02-26T00:00:00Z,0.7,32.11,89.37
NO3_N,Nitrate-N,all,mg/L,980,2018-02-20T00:00:00Z,2020-12-01T00:00:00Z,1,67.54,93.85
NO3_N,Nitrate-N,grab-nonsensor,mg/L,489,2018-02-20T00:00:00Z,2020-02-26T00:00:00Z,0.7,32.31,89.37
NO3_N,Nitrate-N,installed-sensor,mg/L,491,2019-01-03T00:00:00Z,2020-12-01T00:00:00Z,0.7,35.23,4.48
