VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,1024,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.9,14.16,92.09
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,1024,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.9,14.16,92.09
alk,Alkalinity,grab-nonsensor,mg/L,1115,2016-10-05T00:00:00Z,2020-10-16T00:00:00Z,0.8,8.79,91.75
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,997,2016-10-05T00:00:00Z,2020-10-16T00:00:00Z,0.7,17.55,91.27
Br,Bromide,grab-nonsensor,mg/L,1024,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.9,14.16,92.09
Ca,Calcium,grab-nonsensor,mg/L,1024,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.9,14.16,92.09
CHL,Chlorophyll,installed-sensor,mg/L,192,2018-12-06T00:00:00Z,2020-01-05T00:00:00Z,0.5,41.67,11.98
Cl,Chloride,grab-nonsensor,mg/L,1024,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.9,14.16,92.09
CO3,Carbonate,grab-nonsensor,mg/L,1024,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.9,14.16,92.09
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,1041,2016-10-05T00:00:00Z,2020-03-19T00:00:00Z,0.8,15.56,91.83
DO,Dissolved Oxygen,installed-sensor,mg/L,192,2018-12-06T00:00:00Z,2020-01-05T00:00:00Z,0.5,71.35,11.98
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1041,2016-10-05T00:00:00Z,2020-03-19T00:00:00Z,0.8,15.56,91.83
F,Fluorine,grab-nonsensor,mg/L,1024,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.9,14.16,92.09
FDOM,Fluorescent Dissolved Organic Matter,installed-sensor,QSU,192,2018-12-06T00:00:00Z,2020-01-05T00:00:00Z,0.5,98.96,11.98
