VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
alk,Alkalinity,grab-nonsensor,mg/L,925,2016-07-20T00:00:00Z,2020-10-08T00:00:00Z,0.6,0,89.95
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,830,2016-07-20T00:00:00Z,2020-09-01T00:00:00Z,0.6,34.1,90
Br,Bromide,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
Ca,Calcium,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
CHL,Chlorophyll,grab-sensor,mg/L,423,2018-06-07T00:00:00Z,2020-10-22T00:00:00Z,0.5,52.72,3.55
Cl,Chloride,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
CO3,Carbonate,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,658,2016-10-05T00:00:00Z,2020-06-17T00:00:00Z,0.5,46.2,89.06
DO,Dissolved Oxygen,grab-sensor,mg/L,423,2018-06-07T00:00:00Z,2020-10-22T00:00:00Z,0.5,6.86,3.55
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,658,2016-10-05T00:00:00Z,2020-06-17T00:00:00Z,0.5,46.2,89.06
F,Fluorine,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
FDOM,Fluorescent Dissolved Organic Matter,grab-sensor,QSU,423,2018-06-07T00:00:00Z,2020-10-22T00:00:00Z,0.5,86.29,3.55
Fe,Iron,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
HCO3,Bicarbonate,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
K,Potassium,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
Mg,Magnesium,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
Mn,Manganese,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
Na,Sodium,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
NH4_N,Ammonium-N,grab-nonsensor,mg/L,649,2016-10-05T00:00:00Z,2020-02-06T00:00:00Z,0.5,46.53,89.37
NO3_N,Nitrate-N,all,mg/L,1061,2016-10-05T00:00:00Z,2020-10-22T00:00:00Z,0.7,82.94,92.77
NO3_N,Nitrate-N,grab-nonsensor,mg/L,649,2016-10-05T00:00:00Z,2020-02-06T00:00:00Z,0.5,46.53,89.37
NO3_N,Nitrate-N,installed-sensor,mg/L,412,2017-09-15T00:00:00Z,2020-10-22T00:00:00Z,0.4,36.41,3.4
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,649,2016-10-05T00:00:00Z,2020-02-06T00:00:00Z,0.5,46.53,89.37
pH,pH,all,unitless,1014,2016-10-05T00:00:00Z,2020-10-22T00:00:00Z,0.7,86.03,91.71
pH,pH,grab-nonsensor,unitless,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,38.75,88.16
pH,pH,grab-sensor,unitless,423,2018-06-07T00:00:00Z,2020-10-22T00:00:00Z,0.5,47.28,3.55
PO4_P,Phosphate-P,grab-nonsensor,mg/L,649,2016-10-05T00:00:00Z,2020-02-06T00:00:00Z,0.5,45.45,89.37
SiO2,Silica,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
SO4,Sulfate,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
spCond,Specific Conductivity,installed-sensor,uS/cm,423,2018-06-07T00:00:00Z,2020-10-22T00:00:00Z,0.5,29.08,3.55
specificConductance,NA,grab-nonsensor,NA,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,38.75,88.16
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,658,2016-10-05T00:00:00Z,2020-06-17T00:00:00Z,0.5,46.2,89.06
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,40.1,88.66
TDS,Total Dissolved Solids,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,41.29,88.16
temp,Water Temperature,installed-sensor,degrees C,921,2017-09-15T00:00:00Z,2020-10-22T00:00:00Z,0.8,61.35,1.95
TN,Total Nitrogen,grab-nonsensor,mg/L,658,2016-10-05T00:00:00Z,2020-07-16T00:00:00Z,0.5,43.92,88.6
TOC,Total Organic Carbon,grab-nonsensor,mg/L,658,2016-10-05T00:00:00Z,2020-07-16T00:00:00Z,0.5,43.92,88.6
TP,Total Phosphorus,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,38.75,88.16
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,584,2016-10-12T00:00:00Z,2019-12-10T00:00:00Z,0.5,39.21,88.36
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,584,2016-10-12T00:00:00Z,2019-12-10T00:00:00Z,0.5,39.21,88.36
TSS,Total Suspended Solids,grab-nonsensor,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5,38.75,88.16
turbid,Turbidity,grab-sensor,FNU,423,2018-06-07T00:00:00Z,2020-10-22T00:00:00Z,0.5,96.22,3.55
