VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Br,Bromide,grab-nonsensor,mg/L,258,2019-04-10T00:00:00Z,2020-09-11T00:00:00Z,0.5,71.71,91.09
Ca,Calcium,grab-nonsensor,mg/L,258,2019-04-10T00:00:00Z,2020-09-11T00:00:00Z,0.5,49.22,91.09
Cl,Chloride,grab-nonsensor,mg/L,258,2019-04-10T00:00:00Z,2020-09-11T00:00:00Z,0.5,60.47,91.09
K,Potassium,grab-nonsensor,mg/L,258,2019-04-10T00:00:00Z,2020-09-11T00:00:00Z,0.5,49.22,91.09
Mg,Magnesium,grab-nonsensor,mg/L,258,2019-04-10T00:00:00Z,2020-09-11T00:00:00Z,0.5,49.22,91.09
Na,Sodium,grab-nonsensor,mg/L,258,2019-04-10T00:00:00Z,2020-09-11T00:00:00Z,0.5,49.22,91.09
NH4,Ammonium,grab-nonsensor,mg/L,258,2019-04-10T00:00:00Z,2020-09-11T00:00:00Z,0.5,60.47,91.09
NO3,Nitrate,grab-nonsensor,mg/L,258,2019-04-10T00:00:00Z,2020-09-11T00:00:00Z,0.5,49.22,91.09
PO4,Phosphate,grab-nonsensor,mg/L,258,2019-04-10T00:00:00Z,2020-09-11T00:00:00Z,0.5,87.98,91.09
SO4,Sulfate,grab-nonsensor,mg/L,258,2019-04-10T00:00:00Z,2020-09-11T00:00:00Z,0.5,49.22,91.09
precipitation,Basin Precip,installed-sensor,mm,929,2018-05-18T00:00:00Z,2020-12-01T00:00:00Z,1,0,1.94
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,1124,2014-12-31T00:00:00Z,2019-12-10T00:00:00Z,0.6,29,92.44
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,1124,2014-12-31T00:00:00Z,2019-12-10T00:00:00Z,0.6,29,92.44
alk,Alkalinity,grab-nonsensor,mg/L,1605,2014-12-31T00:00:00Z,2020-10-06T00:00:00Z,0.8,4.8,91.96
