VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
alk,Alkalinity,grab-nonsensor,mg/L,834,2017-03-08T00:00:00Z,2020-06-24T00:00:00Z,0.7,0,91.61
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,869,2017-03-08T00:00:00Z,2020-06-24T00:00:00Z,0.7,10.82,91.6
Br,Bromide,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
Ca,Calcium,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
CHL,Chlorophyll,installed-sensor,mg/L,528,2018-05-01T00:00:00Z,2020-12-01T00:00:00Z,0.6,21.59,5.11
Cl,Chloride,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
CO3,Carbonate,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,875,2017-03-08T00:00:00Z,2020-06-24T00:00:00Z,0.7,14.97,91.77
DO,Dissolved Oxygen,installed-sensor,mg/L,528,2018-05-01T00:00:00Z,2020-12-01T00:00:00Z,0.6,20.64,5.11
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,875,2017-03-08T00:00:00Z,2020-06-24T00:00:00Z,0.7,14.97,91.77
F,Fluorine,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
FDOM,Fluorescent Dissolved Organic Matter,installed-sensor,QSU,528,2018-05-01T00:00:00Z,2020-12-01T00:00:00Z,0.6,86.93,5.11
Fe,Iron,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
HCO3,Bicarbonate,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
K,Potassium,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
Mg,Magnesium,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
Mn,Manganese,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
Na,Sodium,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
NH4_N,Ammonium-N,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,10.85,91.74
NO3_N,Nitrate-N,all,mg/L,1324,2017-03-08T00:00:00Z,2020-12-01T00:00:00Z,1,78.35,103.24
NO3_N,Nitrate-N,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,13.44,91.74
NO3_N,Nitrate-N,installed-sensor,mg/L,513,2018-02-07T00:00:00Z,2020-12-01T00:00:00Z,0.5,64.91,11.5
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,13.44,91.74
pH,pH,all,unitless,1346,2017-03-08T00:00:00Z,2020-12-01T00:00:00Z,1,44.28,96.8
pH,pH,grab-nonsensor,unitless,818,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,9.05,91.69
pH,pH,installed-sensor,unitless,528,2018-05-01T00:00:00Z,2020-12-01T00:00:00Z,0.6,35.23,5.11
PO4_P,Phosphate-P,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
SiO2,Silica,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
SO4,Sulfate,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
spCond,Specific Conductivity,installed-sensor,uS/cm,528,2018-05-01T00:00:00Z,2020-12-01T00:00:00Z,0.6,20.64,5.11
specificConductance,NA,grab-nonsensor,NA,818,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,9.05,91.69
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,875,2017-03-08T00:00:00Z,2020-06-24T00:00:00Z,0.7,14.97,91.77
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
TDS,Total Dissolved Solids,grab-nonsensor,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,8.26,91.74
TN,Total Nitrogen,grab-nonsensor,mg/L,882,2017-03-08T00:00:00Z,2020-06-24T00:00:00Z,0.7,15.65,91.72
TOC,Total Organic Carbon,grab-nonsensor,mg/L,882,2017-03-08T00:00:00Z,2020-06-24T00:00:00Z,0.7,15.65,91.72
TP,Total Phosphorus,grab-nonsensor,mg/L,818,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,9.05,91.69
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,818,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,9.05,91.81
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,818,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,9.05,91.81
TSS,Total Suspended Solids,grab-nonsensor,mg/L,818,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8,9.05,91.69
turbid,Turbidity,installed-sensor,FNU,528,2018-05-01T00:00:00Z,2020-12-01T00:00:00Z,0.6,54.17,5.11
