VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Br,Bromide,grab-nonsensor,mg/L,296,2019-04-18T00:00:00Z,2020-08-21T00:00:00Z,0.6,84.8,92.23
Ca,Calcium,grab-nonsensor,mg/L,296,2019-04-18T00:00:00Z,2020-08-21T00:00:00Z,0.6,60.81,92.23
Cl,Chloride,grab-nonsensor,mg/L,296,2019-04-18T00:00:00Z,2020-08-21T00:00:00Z,0.6,60.81,92.23
K,Potassium,grab-nonsensor,mg/L,296,2019-04-18T00:00:00Z,2020-08-21T00:00:00Z,0.6,60.81,92.23
Mg,Magnesium,grab-nonsensor,mg/L,296,2019-04-18T00:00:00Z,2020-08-21T00:00:00Z,0.6,60.81,92.23
Na,Sodium,grab-nonsensor,mg/L,296,2019-04-18T00:00:00Z,2020-08-21T00:00:00Z,0.6,60.81,92.23
NH4,Ammonium,grab-nonsensor,mg/L,296,2019-04-18T00:00:00Z,2020-08-21T00:00:00Z,0.6,60.81,92.23
NO3,Nitrate,grab-nonsensor,mg/L,296,2019-04-18T00:00:00Z,2020-08-21T00:00:00Z,0.6,60.81,92.23
PO4,Phosphate,grab-nonsensor,mg/L,296,2019-04-18T00:00:00Z,2020-08-21T00:00:00Z,0.6,84.8,92.23
SO4,Sulfate,grab-nonsensor,mg/L,296,2019-04-18T00:00:00Z,2020-08-21T00:00:00Z,0.6,60.81,92.23
precipitation,Basin Precip,installed-sensor,mm,916,2018-05-31T00:00:00Z,2020-12-01T00:00:00Z,1,11.03,4.8
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6,36.09,92.02
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6,36.09,92.02
alk,Alkalinity,grab-nonsensor,mg/L,1509,2015-01-23T00:00:00Z,2020-10-07T00:00:00Z,0.7,3.58,91.58
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,1435,2015-01-23T00:00:00Z,2020-10-07T00:00:00Z,0.7,28.64,91.92
Br,Bromide,grab-nonsensor,mg/L,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6,36.09,92.02
Ca,Calcium,grab-nonsensor,mg/L,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6,36.09,92.02
CHL,Chlorophyll,installed-sensor,mg/L,804,2018-05-31T00:00:00Z,2020-12-01T00:00:00Z,0.9,80.35,5.22
Cl,Chloride,grab-nonsensor,mg/L,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6,36.09,92.02
CO3,Carbonate,grab-nonsensor,mg/L,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6,36.09,92.02
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,1054,2015-01-23T00:00:00Z,2020-03-04T00:00:00Z,0.6,36.15,91.94
DO,Dissolved Oxygen,installed-sensor,mg/L,804,2018-05-31T00:00:00Z,2020-12-01T00:00:00Z,0.9,19.78,6.97
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1054,2015-01-23T00:00:00Z,2020-03-04T00:00:00Z,0.6,36.15,91.94
F,Fluorine,grab-nonsensor,mg/L,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6,36.09,92.02
FDOM,Fluorescent Dissolved Organic Matter,installed-sensor,QSU,804,2018-05-31T00:00:00Z,2020-12-01T00:00:00Z,0.9,97.26,5.22
Fe,Iron,grab-nonsensor,mg/L,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6,36.09,92.02
HCO3,Bicarbonate,grab-nonsensor,mg/L,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6,36.09,92.02
K,Potassium,grab-nonsensor,mg/L,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6,36.09,92.02
Mg,Magnesium,grab-nonsensor,mg/L,1053,2015-01-23T00:00:00Z,2019-12-17T00:00:00Z,0.6,36.09,92.02
