VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,958,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.8,20.67,91.75
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,958,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.8,20.67,91.75
alk,Alkalinity,grab-nonsensor,mg/L,1150,2016-09-07T00:00:00Z,2020-10-07T00:00:00Z,0.8,2.96,91.65
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,1124,2016-09-07T00:00:00Z,2020-09-23T00:00:00Z,0.8,18.95,91.9
Br,Bromide,grab-nonsensor,mg/L,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9,22.03,92.05
Ca,Calcium,grab-nonsensor,mg/L,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9,22.03,92.05
CHL,Chlorophyll,installed-sensor,mg/L,619,2017-10-03T00:00:00Z,2020-12-01T00:00:00Z,0.5,82.39,0.32
Cl,Chloride,grab-nonsensor,mg/L,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9,22.03,92.05
CO3,Carbonate,grab-nonsensor,mg/L,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9,21.43,91.75
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,996,2016-10-19T00:00:00Z,2020-06-24T00:00:00Z,0.7,22.19,91.87
DO,Dissolved Oxygen,installed-sensor,mg/L,619,2017-10-03T00:00:00Z,2020-12-01T00:00:00Z,0.5,30.05,0.32
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,996,2016-10-19T00:00:00Z,2020-06-24T00:00:00Z,0.7,22.19,91.87
F,Fluorine,grab-nonsensor,mg/L,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9,22.03,92.05
FDOM,Fluorescent Dissolved Organic Matter,installed-sensor,QSU,607,2017-10-06T00:00:00Z,2020-12-01T00:00:00Z,0.5,82.54,3.62
Fe,Iron,grab-nonsensor,mg/L,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9,22.03,92.05
HCO3,Bicarbonate,grab-nonsensor,mg/L,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9,22.03,91.95
K,Potassium,grab-nonsensor,mg/L,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9,22.03,92.05
Mg,Magnesium,grab-nonsensor,mg/L,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9,22.03,92.05
Mn,Manganese,grab-nonsensor,mg/L,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9,22.03,92.05
