VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
alk,Alkalinity,grab-nonsensor,mg/L,1412,2015-06-10T00:00:00Z,2020-09-15T00:00:00Z,0.7,5.67,91.57
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,1509,2015-06-10T00:00:00Z,2020-09-02T00:00:00Z,0.8,17.23,91.92
Br,Bromide,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
Ca,Calcium,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
CHL,Chlorophyll,installed-sensor,mg/L,921,2016-09-16T00:00:00Z,2020-11-14T00:00:00Z,0.6,92.51,2.17
Cl,Chloride,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
CO3,Carbonate,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,1122,2015-06-10T00:00:00Z,2020-06-16T00:00:00Z,0.6,19.96,91.8
DO,Dissolved Oxygen,installed-sensor,mg/L,921,2016-09-16T00:00:00Z,2020-11-14T00:00:00Z,0.6,27.36,2.17
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1122,2015-06-10T00:00:00Z,2020-06-16T00:00:00Z,0.6,19.96,91.8
F,Fluorine,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
FDOM,Fluorescent Dissolved Organic Matter,installed-sensor,QSU,906,2016-09-18T00:00:00Z,2020-11-14T00:00:00Z,0.6,94.15,17.55
Fe,Iron,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
HCO3,Bicarbonate,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
K,Potassium,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
Mg,Magnesium,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
Mn,Manganese,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
Na,Sodium,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,18.26,91.77
NO3_N,Nitrate-N,all,mg/L,1859,2015-06-10T00:00:00Z,2020-12-01T00:00:00Z,0.9,58.94,106.98
NO3_N,Nitrate-N,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,20.91,91.77
NO3_N,Nitrate-N,installed-sensor,mg/L,802,2017-02-07T00:00:00Z,2020-12-01T00:00:00Z,0.6,38.03,15.21
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,20.91,91.77
pH,pH,all,unitless,2006,2015-06-10T00:00:00Z,2020-11-14T00:00:00Z,1,81.92,95.6
pH,pH,grab-nonsensor,unitless,1085,2015-06-10T00:00:00Z,2019-12-04T00:00:00Z,0.7,17.97,91.8
pH,pH,installed-sensor,unitless,921,2016-09-16T00:00:00Z,2020-11-14T00:00:00Z,0.6,63.95,3.8
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.04,91.77
SiO2,Silica,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
SO4,Sulfate,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
spCond,Specific Conductivity,installed-sensor,uS/cm,921,2016-09-16T00:00:00Z,2020-11-14T00:00:00Z,0.6,27.47,2.17
specificConductance,NA,grab-nonsensor,NA,1085,2015-06-10T00:00:00Z,2019-12-04T00:00:00Z,0.7,17.97,91.8
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,1122,2015-06-10T00:00:00Z,2020-06-16T00:00:00Z,0.6,19.96,91.8
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.04,91.77
TDS,Total Dissolved Solids,grab-nonsensor,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7,15.8,91.67
temp,Water Temperature,installed-sensor,degrees C,1402,2016-12-07T00:00:00Z,2020-12-01T00:00:00Z,1,21.18,3.64
TN,Total Nitrogen,grab-nonsensor,mg/L,1159,2015-06-10T00:00:00Z,2020-07-02T00:00:00Z,0.6,22.52,91.89
TOC,Total Organic Carbon,grab-nonsensor,mg/L,1159,2015-06-10T00:00:00Z,2020-07-02T00:00:00Z,0.6,22.52,91.89
TP,Total Phosphorus,grab-nonsensor,mg/L,1085,2015-06-10T00:00:00Z,2019-12-04T00:00:00Z,0.7,17.97,91.8
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,1078,2015-06-17T00:00:00Z,2019-12-04T00:00:00Z,0.7,18,91.84
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,1078,2015-06-17T00:00:00Z,2019-12-04T00:00:00Z,0.7,17.44,91.93
TSS,Total Suspended Solids,grab-nonsensor,mg/L,1085,2015-06-10T00:00:00Z,2019-12-04T00:00:00Z,0.7,17.97,91.8
turbid,Turbidity,installed-sensor,FNU,921,2016-09-16T00:00:00Z,2020-11-14T00:00:00Z,0.6,97.61,2.17
