VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,31.47,91.3
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,31.47,91.3
alk,Alkalinity,grab-nonsensor,mg/L,1380,2015-08-11T00:00:00Z,2020-10-07T00:00:00Z,0.7,0.51,92.17
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,1489,2015-08-11T00:00:00Z,2020-10-07T00:00:00Z,0.8,24.71,92.14
Br,Bromide,grab-nonsensor,mg/L,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,31.47,91.3
Ca,Calcium,grab-nonsensor,mg/L,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,31.47,91.3
CHL,Chlorophyll,installed-sensor,mg/L,1043,2017-04-03T00:00:00Z,2020-12-01T00:00:00Z,0.8,73.54,4.79
Cl,Chloride,grab-nonsensor,mg/L,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,31.47,91.3
CO3,Carbonate,grab-nonsensor,mg/L,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,31.47,91.3
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,988,2015-08-11T00:00:00Z,2020-06-23T00:00:00Z,0.6,34.62,91.5
DO,Dissolved Oxygen,installed-sensor,mg/L,955,2017-04-03T00:00:00Z,2020-12-01T00:00:00Z,0.7,26.81,5.13
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,988,2015-08-11T00:00:00Z,2020-06-23T00:00:00Z,0.6,34.62,91.5
F,Fluorine,grab-nonsensor,mg/L,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,31.47,91.3
FDOM,Fluorescent Dissolved Organic Matter,installed-sensor,QSU,1013,2017-04-14T00:00:00Z,2020-12-01T00:00:00Z,0.8,92.4,28.53
Fe,Iron,grab-nonsensor,mg/L,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,31.47,91.3
HCO3,Bicarbonate,grab-nonsensor,mg/L,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,31.47,91.3
K,Potassium,grab-nonsensor,mg/L,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,31.47,91.3
Mg,Magnesium,grab-nonsensor,mg/L,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,31.47,91.3
Mn,Manganese,grab-nonsensor,mg/L,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,31.47,91.3
Na,Sodium,grab-nonsensor,mg/L,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,31.47,91.3
NH4_N,Ammonium-N,grab-nonsensor,mg/L,952,2015-08-11T00:00:00Z,2020-02-25T00:00:00Z,0.6,33.61,91.39
NO3_N,Nitrate-N,all,mg/L,1777,2015-08-11T00:00:00Z,2020-12-01T00:00:00Z,0.9,70.24,103.39
NO3_N,Nitrate-N,grab-nonsensor,mg/L,952,2015-08-11T00:00:00Z,2020-02-25T00:00:00Z,0.6,36.66,91.39
NO3_N,Nitrate-N,installed-sensor,mg/L,825,2017-04-03T00:00:00Z,2020-12-01T00:00:00Z,0.6,33.58,12
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,952,2015-08-11T00:00:00Z,2020-02-25T00:00:00Z,0.6,36.66,91.39
pH,pH,all,unitless,2015,2015-08-11T00:00:00Z,2020-12-01T00:00:00Z,1,90.21,96.26
pH,pH,grab-nonsensor,unitless,972,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6,32.3,91.56
pH,pH,installed-sensor,unitless,1043,2017-04-03T00:00:00Z,2020-12-01T00:00:00Z,0.8,57.91,4.7
PO4_P,Phosphate-P,grab-nonsensor,mg/L,952,2015-08-11T00:00:00Z,2020-02-25T00:00:00Z,0.6,32.14,91.39
