VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9,26.46,92.08
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9,26.46,92.08
alk,Alkalinity,grab-nonsensor,mg/L,677,2017-11-08T00:00:00Z,2020-10-08T00:00:00Z,0.6,1.03,90.99
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,692,2017-11-08T00:00:00Z,2020-10-08T00:00:00Z,0.6,24.86,91.62
Br,Bromide,grab-nonsensor,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9,26.46,92.08
Ca,Calcium,grab-nonsensor,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9,26.46,92.08
CHL,Chlorophyll,installed-sensor,mg/L,1016,2018-02-20T00:00:00Z,2020-12-01T00:00:00Z,1,83.27,5.41
Cl,Chloride,grab-nonsensor,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9,26.46,92.08
CO3,Carbonate,grab-nonsensor,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9,26.46,91.93
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,719,2017-11-08T00:00:00Z,2020-03-20T00:00:00Z,0.8,31.57,92.07
DO,Dissolved Oxygen,installed-sensor,mg/L,1016,2018-02-20T00:00:00Z,2020-12-01T00:00:00Z,1,12.99,5.41
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,719,2017-11-08T00:00:00Z,2020-03-20T00:00:00Z,0.8,31.57,92.07
F,Fluorine,grab-nonsensor,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9,26.46,92.08
FDOM,Fluorescent Dissolved Organic Matter,installed-sensor,QSU,1007,2018-03-01T00:00:00Z,2020-12-01T00:00:00Z,1,79.74,5.46
Fe,Iron,grab-nonsensor,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9,26.46,92.08
HCO3,Bicarbonate,grab-nonsensor,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9,26.46,92.08
K,Potassium,grab-nonsensor,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9,26.46,92.08
Mg,Magnesium,grab-nonsensor,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9,26.46,92.08
Mn,Manganese,grab-nonsensor,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9,26.46,92.08
Na,Sodium,grab-nonsensor,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9,26.46,92.08
NH4_N,Ammonium-N,grab-nonsensor,mg/L,731,2017-11-08T00:00:00Z,2020-02-18T00:00:00Z,0.9,34.47,92.34
NO3_N,Nitrate-N,all,mg/L,1588,2017-11-08T00:00:00Z,2020-12-01T00:00:00Z,1.4,65.49,99.46
NO3_N,Nitrate-N,grab-nonsensor,mg/L,731,2017-11-08T00:00:00Z,2020-02-18T00:00:00Z,0.9,38.3,92.34
