VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.58
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.58
alk,Alkalinity,grab-nonsensor,mg/L,1862,2014-10-22T00:00:00Z,2020-10-07T00:00:00Z,0.9,8.81,92.32
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,1861,2014-10-22T00:00:00Z,2020-10-07T00:00:00Z,0.9,19.29,92.58
Br,Bromide,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.51
Ca,Calcium,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.51
CHL,Chlorophyll,installed-sensor,mg/L,1262,2016-10-08T00:00:00Z,2020-11-11T00:00:00Z,0.8,69.26,2.85
Cl,Chloride,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.51
CO3,Carbonate,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.58
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,1363,2014-10-22T00:00:00Z,2020-03-04T00:00:00Z,0.7,20.25,92.66
DO,Dissolved Oxygen,installed-sensor,mg/L,1213,2016-10-08T00:00:00Z,2020-11-11T00:00:00Z,0.8,9.07,3.71
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1363,2014-10-22T00:00:00Z,2020-03-04T00:00:00Z,0.7,20.25,92.66
F,Fluorine,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.51
FDOM,Fluorescent Dissolved Organic Matter,grab-sensor,QSU,1245,2016-10-13T00:00:00Z,2020-11-11T00:00:00Z,0.8,93.9,16.55
Fe,Iron,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.51
HCO3,Bicarbonate,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.58
K,Potassium,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.51
Mg,Magnesium,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.51
Mn,Manganese,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.51
Na,Sodium,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.51
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1291,2014-10-22T00:00:00Z,2020-02-14T00:00:00Z,0.7,17.89,92.41
NO3_N,Nitrate-N,all,mg/L,1893,2014-10-22T00:00:00Z,2020-12-01T00:00:00Z,0.8,87.06,120.32
NO3_N,Nitrate-N,grab-nonsensor,mg/L,1291,2014-10-22T00:00:00Z,2020-02-14T00:00:00Z,0.7,20.45,92.41
NO3_N,Nitrate-N,installed-sensor,mg/L,602,2018-07-07T00:00:00Z,2020-12-01T00:00:00Z,0.7,66.61,27.91
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,1291,2014-10-22T00:00:00Z,2020-02-14T00:00:00Z,0.7,20.45,92.41
pH,pH,all,unitless,2543,2014-10-22T00:00:00Z,2020-11-11T00:00:00Z,1.1,69.42,95.28
pH,pH,grab-nonsensor,unitless,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.46,92.43
pH,pH,installed-sensor,unitless,1262,2016-10-08T00:00:00Z,2020-11-11T00:00:00Z,0.8,53.96,2.85
PO4_P,Phosphate-P,grab-nonsensor,mg/L,1291,2014-10-22T00:00:00Z,2020-02-14T00:00:00Z,0.7,15.8,92.41
SiO2,Silica,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.51
SO4,Sulfate,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.51
spCond,Specific Conductivity,installed-sensor,uS/cm,1262,2016-10-08T00:00:00Z,2020-11-11T00:00:00Z,0.8,26.94,2.85
specificConductance,NA,grab-nonsensor,NA,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.46,92.43
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,1363,2014-10-22T00:00:00Z,2020-03-04T00:00:00Z,0.7,20.25,92.66
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7,15.14,92.51
