VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
precipitation,Basin Precip,installed-sensor,mm,1161,2017-09-28T00:00:00Z,2020-12-01T00:00:00Z,1,0,0
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.91
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.91
alk,Alkalinity,grab-nonsensor,mg/L,1035,2016-12-14T00:00:00Z,2020-09-22T00:00:00Z,0.8,0,92.08
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,1048,2016-12-14T00:00:00Z,2020-07-07T00:00:00Z,0.8,17.94,91.98
Br,Bromide,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
Ca,Calcium,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
CHL,Chlorophyll,installed-sensor,mg/L,981,2017-11-16T00:00:00Z,2020-12-01T00:00:00Z,0.9,93.07,3.16
Cl,Chloride,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
CO3,Carbonate,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,929,2016-12-14T00:00:00Z,2020-06-18T00:00:00Z,0.7,13.67,91.71
DO,Dissolved Oxygen,installed-sensor,mg/L,981,2017-11-16T00:00:00Z,2020-12-01T00:00:00Z,0.9,15.29,3.06
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,929,2016-12-14T00:00:00Z,2020-06-18T00:00:00Z,0.7,13.67,91.71
F,Fluorine,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
FDOM,Fluorescent Dissolved Organic Matter,installed-sensor,QSU,981,2017-11-16T00:00:00Z,2020-12-01T00:00:00Z,0.9,97.96,5.91
Fe,Iron,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
HCO3,Bicarbonate,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
K,Potassium,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
Mg,Magnesium,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
Mn,Manganese,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
Na,Sodium,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
NH4_N,Ammonium-N,grab-nonsensor,mg/L,956,2016-12-14T00:00:00Z,2020-02-12T00:00:00Z,0.8,17.57,91.95
NO3_N,Nitrate-N,all,mg/L,1930,2016-12-14T00:00:00Z,2020-12-01T00:00:00Z,1.3,60.34,104.89
NO3_N,Nitrate-N,grab-nonsensor,mg/L,956,2016-12-14T00:00:00Z,2020-02-12T00:00:00Z,0.8,20.4,91.95
NO3_N,Nitrate-N,installed-sensor,mg/L,974,2017-11-08T00:00:00Z,2020-12-01T00:00:00Z,0.9,39.94,12.94
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,956,2016-12-14T00:00:00Z,2020-02-12T00:00:00Z,0.8,20.4,91.95
pH,pH,all,unitless,1971,2016-12-14T00:00:00Z,2020-12-01T00:00:00Z,1.4,43.96,95.28
pH,pH,grab-nonsensor,unitless,990,2016-12-14T00:00:00Z,2019-12-11T00:00:00Z,0.9,19.7,92.12
pH,pH,installed-sensor,unitless,981,2017-11-16T00:00:00Z,2020-12-01T00:00:00Z,0.9,24.26,3.16
PO4_P,Phosphate-P,grab-nonsensor,mg/L,956,2016-12-14T00:00:00Z,2020-02-12T00:00:00Z,0.8,16.11,91.95
SiO2,Silica,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
SO4,Sulfate,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
spCond,Specific Conductivity,installed-sensor,uS/cm,981,2017-11-16T00:00:00Z,2020-12-01T00:00:00Z,0.9,22.53,3.26
specificConductance,NA,grab-nonsensor,NA,990,2016-12-14T00:00:00Z,2019-12-11T00:00:00Z,0.9,19.7,92.12
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,929,2016-12-14T00:00:00Z,2020-06-18T00:00:00Z,0.7,13.67,91.71
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,13.48,91.91
TDS,Total Dissolved Solids,grab-nonsensor,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9,14.24,91.8
temp,Water Temperature,installed-sensor,degrees C,1056,2017-11-07T00:00:00Z,2020-12-01T00:00:00Z,0.9,25.66,4.36
