VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,748,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,48.13,91.84
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,748,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,48.13,91.84
alk,Alkalinity,grab-nonsensor,mg/L,761,2017-06-14T00:00:00Z,2020-07-08T00:00:00Z,0.7,5.65,91.33
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,766,2017-06-14T00:00:00Z,2020-07-08T00:00:00Z,0.7,44.26,91.25
Br,Bromide,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
Ca,Calcium,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
CHL,Chlorophyll,installed-sensor,mg/L,1010,2017-11-18T00:00:00Z,2020-12-01T00:00:00Z,0.9,68.02,7.03
Cl,Chloride,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
CO3,Carbonate,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,793,2017-06-14T00:00:00Z,2020-03-13T00:00:00Z,0.8,51.07,91.93
DO,Dissolved Oxygen,installed-sensor,mg/L,817,2017-11-18T00:00:00Z,2020-12-01T00:00:00Z,0.7,27.91,5.75
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,793,2017-06-14T00:00:00Z,2020-03-13T00:00:00Z,0.8,51.07,92.06
F,Fluorine,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
FDOM,Fluorescent Dissolved Organic Matter,installed-sensor,QSU,1003,2017-11-22T00:00:00Z,2020-12-01T00:00:00Z,0.9,90.03,12.56
Fe,Iron,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
HCO3,Bicarbonate,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
K,Potassium,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
Mg,Magnesium,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
Mn,Manganese,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
Na,Sodium,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
NH4_N,Ammonium-N,grab-nonsensor,mg/L,756,2017-06-14T00:00:00Z,2020-02-21T00:00:00Z,0.8,50.53,91.8
NO3_N,Nitrate-N,all,mg/L,1650,2017-06-14T00:00:00Z,2020-12-01T00:00:00Z,1.3,106.75,108.02
NO3_N,Nitrate-N,grab-nonsensor,mg/L,756,2017-06-14T00:00:00Z,2020-02-21T00:00:00Z,0.8,51.72,91.8
NO3_N,Nitrate-N,installed-sensor,mg/L,894,2017-11-20T00:00:00Z,2020-12-01T00:00:00Z,0.8,55.03,16.22
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,756,2017-06-14T00:00:00Z,2020-02-21T00:00:00Z,0.8,51.72,91.8
pH,pH,all,unitless,1631,2017-06-14T00:00:00Z,2020-12-01T00:00:00Z,1.3,123.48,95.74
pH,pH,grab-nonsensor,unitless,693,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,44.16,91.05
pH,pH,installed-sensor,unitless,938,2017-11-18T00:00:00Z,2020-12-01T00:00:00Z,0.8,79.32,4.69
PO4_P,Phosphate-P,grab-nonsensor,mg/L,756,2017-06-14T00:00:00Z,2020-02-21T00:00:00Z,0.8,48.68,91.8
SiO2,Silica,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
SO4,Sulfate,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
spCond,Specific Conductivity,installed-sensor,uS/cm,1010,2017-11-18T00:00:00Z,2020-12-01T00:00:00Z,0.9,30.2,7.03
specificConductance,NA,grab-nonsensor,NA,693,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,44.16,91.05
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,793,2017-06-14T00:00:00Z,2020-03-13T00:00:00Z,0.8,51.07,92.06
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.88
TDS,Total Dissolved Solids,grab-nonsensor,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,45.66,91.46
temp,Water Temperature,installed-sensor,degrees C,1010,2017-11-18T00:00:00Z,2020-12-01T00:00:00Z,0.9,67.03,5.64
TN,Total Nitrogen,grab-nonsensor,mg/L,695,2017-06-14T00:00:00Z,2020-07-08T00:00:00Z,0.6,44.32,91.37
TOC,Total Organic Carbon,grab-nonsensor,mg/L,695,2017-06-14T00:00:00Z,2020-07-08T00:00:00Z,0.6,44.32,91.37
TP,Total Phosphorus,grab-nonsensor,mg/L,693,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,44.16,91.2
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,720,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,48.06,91.25
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,720,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,48.06,91.25
TSS,Total Suspended Solids,grab-nonsensor,mg/L,693,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8,44.16,91.05
turbid,Turbidity,installed-sensor,FNU,1007,2017-11-18T00:00:00Z,2020-12-01T00:00:00Z,0.9,92.55,7.05
