VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
alk,Alkalinity,grab-nonsensor,mg/L,675,2016-07-15T00:00:00Z,2020-10-08T00:00:00Z,0.4,4,87.7
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,579,2016-07-15T00:00:00Z,2020-09-08T00:00:00Z,0.4,32.99,87.39
Br,Bromide,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
Ca,Calcium,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
CHL,Chlorophyll,installed-sensor,mg/L,98,2019-06-20T00:00:00Z,2019-09-25T00:00:00Z,1,83.67,26.53
Cl,Chloride,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
CO3,Carbonate,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,494,2017-05-23T00:00:00Z,2020-06-18T00:00:00Z,0.4,37.04,87.65
DO,Dissolved Oxygen,installed-sensor,mg/L,98,2019-06-20T00:00:00Z,2019-09-25T00:00:00Z,1,36.73,26.53
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,494,2017-05-23T00:00:00Z,2020-06-18T00:00:00Z,0.4,37.04,87.45
F,Fluorine,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
FDOM,Fluorescent Dissolved Organic Matter,installed-sensor,QSU,98,2019-06-20T00:00:00Z,2019-09-25T00:00:00Z,1,100,26.53
Fe,Iron,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
HCO3,Bicarbonate,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
K,Potassium,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
Mg,Magnesium,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
Mn,Manganese,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
Na,Sodium,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
NH4_N,Ammonium-N,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,39.22,87.68
NO3_N,Nitrate-N,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,39.22,87.68
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,39.22,87.68
pH,pH,all,unitless,585,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.7,122.68,114
pH,pH,grab-nonsensor,unitless,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,39.01,87.47
pH,pH,installed-sensor,unitless,98,2019-06-20T00:00:00Z,2019-09-25T00:00:00Z,1,83.67,26.53
PO4_P,Phosphate-P,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,36.14,87.68
SiO2,Silica,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
SO4,Sulfate,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
spCond,Specific Conductivity,installed-sensor,uS/cm,98,2019-06-20T00:00:00Z,2019-09-25T00:00:00Z,1,34.69,26.53
specificConductance,NA,grab-nonsensor,NA,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,39.01,87.47
TDN,Total Dissolved Nitrogen,grab-nonsensor,mg/L,494,2017-05-23T00:00:00Z,2020-06-18T00:00:00Z,0.4,37.04,87.45
TDP,Total Dissolved Phosphorus,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,36.14,87.68
TDS,Total Dissolved Solids,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.27
temp,Water Temperature,installed-sensor,degrees C,114,2017-08-26T00:00:00Z,2019-09-25T00:00:00Z,0.1,33.33,1.75
TN,Total Nitrogen,grab-nonsensor,mg/L,513,2017-05-23T00:00:00Z,2020-07-07T00:00:00Z,0.4,40.74,87.52
TOC,Total Organic Carbon,grab-nonsensor,mg/L,513,2017-05-23T00:00:00Z,2020-07-07T00:00:00Z,0.4,40.74,87.52
TP,Total Phosphorus,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,39.01,87.47
TPC,Total Particulate Carbon,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.68
TPN,Total Particulate Nitrogen,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,37.58,87.68
TSS,Total Suspended Solids,grab-nonsensor,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5,39.01,87.47
turbid,Turbidity,installed-sensor,FNU,98,2019-06-20T00:00:00Z,2019-09-25T00:00:00Z,1,68.37,26.53
