VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,1227,2014-10-29T00:00:00Z,2019-12-11T00:00:00Z,0.7,18.42,91.36
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,1227,2014-10-29T00:00:00Z,2019-12-11T00:00:00Z,0.7,18.42,91.36
alk,Alkalinity,grab-nonsensor,mg/L,1831,2014-07-23T00:00:00Z,2020-10-14T00:00:00Z,0.8,10.05,92.03
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,1823,2014-07-23T00:00:00Z,2020-10-14T00:00:00Z,0.8,20.95,92.21
Br,Bromide,grab-nonsensor,mg/L,1227,2014-10-29T00:00:00Z,2019-12-11T00:00:00Z,0.7,18.42,91.36
Ca,Calcium,grab-nonsensor,mg/L,1227,2014-10-29T00:00:00Z,2019-12-11T00:00:00Z,0.7,18.42,91.36
CHL,Chlorophyll,installed-sensor,mg/L,1305,2016-10-12T00:00:00Z,2020-12-01T00:00:00Z,0.9,66.28,4.67
Cl,Chloride,grab-nonsensor,mg/L,1227,2014-10-29T00:00:00Z,2019-12-11T00:00:00Z,0.7,18.42,91.36
CO3,Carbonate,grab-nonsensor,mg/L,1227,2014-10-29T00:00:00Z,2019-12-11T00:00:00Z,0.7,18.42,91.36
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,1318,2014-10-29T00:00:00Z,2020-03-11T00:00:00Z,0.7,24.05,91.5
DO,Dissolved Oxygen,installed-sensor,mg/L,1274,2016-10-12T00:00:00Z,2020-12-01T00:00:00Z,0.8,11.38,5.02
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1318,2014-10-29T00:00:00Z,2020-03-11T00:00:00Z,0.7,24.05,91.5
F,Fluorine,grab-nonsensor,mg/L,1227,2014-10-29T00:00:00Z,2019-12-11T00:00:00Z,0.7,18.42,91.36
FDOM,Fluorescent Dissolved Organic Matter,grab-sensor,QSU,1266,2016-11-03T00:00:00Z,2020-12-01T00:00:00Z,0.9,94.15,27.25
