VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
Br,Bromide,grab-nonsensor,mg/L,134,2019-05-22T00:00:00Z,2020-03-04T00:00:00Z,0.5,52.99,91.79
Ca,Calcium,grab-nonsensor,mg/L,134,2019-05-22T00:00:00Z,2020-03-04T00:00:00Z,0.5,10.45,91.79
Cl,Chloride,grab-nonsensor,mg/L,134,2019-05-22T00:00:00Z,2020-03-04T00:00:00Z,0.5,11.19,91.79
K,Potassium,grab-nonsensor,mg/L,134,2019-05-22T00:00:00Z,2020-03-04T00:00:00Z,0.5,10.45,91.79
Mg,Magnesium,grab-nonsensor,mg/L,134,2019-05-22T00:00:00Z,2020-03-04T00:00:00Z,0.5,10.45,91.79
Na,Sodium,grab-nonsensor,mg/L,134,2019-05-22T00:00:00Z,2020-03-04T00:00:00Z,0.5,10.45,91.79
NH4,Ammonium,grab-nonsensor,mg/L,134,2019-05-22T00:00:00Z,2020-03-04T00:00:00Z,0.5,11.19,91.79
NO3,Nitrate,grab-nonsensor,mg/L,134,2019-05-22T00:00:00Z,2020-03-04T00:00:00Z,0.5,10.45,91.79
PO4,Phosphate,grab-nonsensor,mg/L,134,2019-05-22T00:00:00Z,2020-03-04T00:00:00Z,0.5,42.54,91.79
SO4,Sulfate,grab-nonsensor,mg/L,134,2019-05-22T00:00:00Z,2020-03-04T00:00:00Z,0.5,10.45,91.79
precipitation,Basin Precip,installed-sensor,mm,1028,2017-12-01T00:00:00Z,2020-12-01T00:00:00Z,0.9,0,0
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,345,2017-06-21T00:00:00Z,2019-12-11T00:00:00Z,0.4,22.32,88.7
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,345,2017-06-21T00:00:00Z,2019-12-11T00:00:00Z,0.4,22.32,88.7
alk,Alkalinity,grab-nonsensor,mg/L,458,2017-06-21T00:00:00Z,2020-10-06T00:00:00Z,0.4,12.23,89.52
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,417,2017-06-21T00:00:00Z,2020-10-06T00:00:00Z,0.3,26.62,89.21
Br,Bromide,grab-nonsensor,mg/L,354,2017-06-21T00:00:00Z,2019-12-20T00:00:00Z,0.4,24.29,88.7
Ca,Calcium,grab-nonsensor,mg/L,354,2017-06-21T00:00:00Z,2019-12-20T00:00:00Z,0.4,24.29,88.7
CHL,Chlorophyll,installed-sensor,mg/L,459,2019-02-06T00:00:00Z,2020-11-30T00:00:00Z,0.7,93.03,5.01
Cl,Chloride,grab-nonsensor,mg/L,354,2017-06-21T00:00:00Z,2019-12-20T00:00:00Z,0.4,24.29,88.7
CO3,Carbonate,grab-nonsensor,mg/L,354,2017-06-21T00:00:00Z,2019-12-20T00:00:00Z,0.4,24.29,88.7
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,400,2017-06-21T00:00:00Z,2020-02-18T00:00:00Z,0.4,33,89.25
DO,Dissolved Oxygen,installed-sensor,mg/L,459,2019-02-06T00:00:00Z,2020-11-30T00:00:00Z,0.7,37.91,6.97
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,400,2017-06-21T00:00:00Z,2020-02-18T00:00:00Z,0.4,33,89.25
F,Fluorine,grab-nonsensor,mg/L,354,2017-06-21T00:00:00Z,2019-12-20T00:00:00Z,0.4,24.29,88.7
FDOM,Fluorescent Dissolved Organic Matter,installed-sensor,QSU,459,2019-02-06T00:00:00Z,2020-11-30T00:00:00Z,0.7,96.3,5.01
