VariableCode,VariableName,SampleRegimen,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay,PercentFlagged,PercentImputed
abs250,UV Absorbance at 250nm,grab-nonsensor,unitless,1039,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,12.13,92.2
abs280,UV Absorbance at 280nm,grab-nonsensor,unitless,1039,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,12.13,92.2
alk,Alkalinity,grab-nonsensor,mg/L,1230,2016-10-12T00:00:00Z,2020-10-14T00:00:00Z,0.8,8.13,92.2
ANC,Acid Neutralizing Capacity,grab-nonsensor,eq/L,1130,2016-10-12T00:00:00Z,2020-10-08T00:00:00Z,0.8,23.89,92.21
Br,Bromide,grab-nonsensor,mg/L,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,16.08,92.46
Ca,Calcium,grab-nonsensor,mg/L,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,16.08,92.46
CHL,Chlorophyll,installed-sensor,mg/L,156,2018-12-19T00:00:00Z,2019-11-03T00:00:00Z,0.5,33.97,1.28
Cl,Chloride,grab-nonsensor,mg/L,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,16.08,92.46
CO3,Carbonate,grab-nonsensor,mg/L,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,16.08,92.46
DIC,Dissolved Inorganic Carbon,grab-nonsensor,mg/L,1089,2016-10-12T00:00:00Z,2020-03-20T00:00:00Z,0.9,16.16,92.1
DO,Dissolved Oxygen,installed-sensor,mg/L,156,2018-12-19T00:00:00Z,2019-11-03T00:00:00Z,0.5,72.44,1.28
DOC,Dissolved Organic Carbon,grab-nonsensor,mg/L,1089,2016-10-12T00:00:00Z,2020-03-20T00:00:00Z,0.9,16.16,92.1
F,Fluorine,grab-nonsensor,mg/L,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,16.08,92.46
FDOM,Fluorescent Dissolved Organic Matter,installed-sensor,QSU,156,2018-12-19T00:00:00Z,2019-11-03T00:00:00Z,0.5,100,1.28
Fe,Iron,grab-nonsensor,mg/L,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,16.08,92.46
HCO3,Bicarbonate,grab-nonsensor,mg/L,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,16.08,92.46
K,Potassium,grab-nonsensor,mg/L,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,16.08,92.46
Mg,Magnesium,grab-nonsensor,mg/L,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,16.08,92.46
Mn,Manganese,grab-nonsensor,mg/L,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,16.08,92.46
Na,Sodium,grab-nonsensor,mg/L,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,16.08,92.46
NH4_N,Ammonium-N,grab-nonsensor,mg/L,1053,2016-10-12T00:00:00Z,2020-02-13T00:00:00Z,0.9,13.3,92.02
NO3_N,Nitrate-N,all,mg/L,1286,2016-10-12T00:00:00Z,2020-02-13T00:00:00Z,1.1,100.21,141.81
NO3_N,Nitrate-N,grab-nonsensor,mg/L,1053,2016-10-12T00:00:00Z,2020-02-13T00:00:00Z,0.9,17.38,92.02
NO3_N,Nitrate-N,installed-sensor,mg/L,233,2018-07-26T00:00:00Z,2019-10-12T00:00:00Z,0.5,82.83,49.79
NO3_NO2_N,Nitrate-N and nitrite-N,grab-nonsensor,mg/L,1053,2016-10-12T00:00:00Z,2020-02-13T00:00:00Z,0.9,17.38,92.02
pH,pH,all,unitless,1244,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,1.1,105.82,93.65
pH,pH,grab-nonsensor,unitless,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9,16.08,92.37
pH,pH,installed-sensor,unitless,156,2018-12-19T00:00:00Z,2019-11-03T00:00:00Z,0.5,89.74,1.28
