Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Niwot,ALBION,eq/L,9712,1982-02-12T00:00:00Z,2018-10-04T00:00:00Z,0.7
LTER,Niwot,ALBION_INLET,eq/L,4980,1984-06-01T00:00:00Z,2004-11-12T00:00:00Z,0.7
LTER,Niwot,FLUME,eq/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4
LTER,Niwot,GREEN1,eq/L,3004,1985-06-07T00:00:00Z,2010-10-08T00:00:00Z,0.3
LTER,Niwot,GREEN4,eq/L,8124,1982-03-12T00:00:00Z,2018-10-19T00:00:00Z,0.6
LTER,Niwot,GREEN5,eq/L,4516,1984-06-01T00:00:00Z,2018-09-26T00:00:00Z,0.4
LTER,Niwot,MARTINELLI,eq/L,4134,1984-05-25T00:00:00Z,2018-08-17T00:00:00Z,0.3
LTER,Niwot,NAVAJO,eq/L,3667,1984-06-29T00:00:00Z,2018-09-21T00:00:00Z,0.3
LTER,Niwot,ROCK_GLACIER,eq/L,1952,1998-07-17T00:00:00Z,2018-09-26T00:00:00Z,0.3
LTER,Niwot,SADDLE,eq/L,2445,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.3
LTER,Niwot,SADDLE_007,eq/L,2160,1994-05-19T00:00:00Z,2018-06-21T00:00:00Z,0.2
LTER,Niwot,SODDIE,eq/L,748,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1
NEON,NEON,ARIK,eq/L,2196,2012-02-01T00:00:00Z,2020-10-07T00:00:00Z,0.7
NEON,NEON,BIGC,eq/L,555,2018-02-20T00:00:00Z,2020-07-08T00:00:00Z,0.6
NEON,NEON,BLDE,eq/L,593,2018-03-07T00:00:00Z,2020-10-09T00:00:00Z,0.6
NEON,NEON,BLUE,eq/L,904,2017-01-31T00:00:00Z,2020-03-18T00:00:00Z,0.8
NEON,NEON,BLWA,eq/L,997,2016-10-05T00:00:00Z,2020-10-16T00:00:00Z,0.7
NEON,NEON,CARI,eq/L,830,2016-07-20T00:00:00Z,2020-09-01T00:00:00Z,0.6
NEON,NEON,COMO,eq/L,1345,2015-05-22T00:00:00Z,2020-10-14T00:00:00Z,0.7
NEON,NEON,CUPE,eq/L,1584,2014-12-31T00:00:00Z,2020-09-09T00:00:00Z,0.8
NEON,NEON,FLNT,eq/L,869,2017-03-08T00:00:00Z,2020-06-24T00:00:00Z,0.7
NEON,NEON,GUIL,eq/L,1435,2015-01-23T00:00:00Z,2020-10-07T00:00:00Z,0.7
NEON,NEON,HOPB,eq/L,1124,2016-09-07T00:00:00Z,2020-09-23T00:00:00Z,0.8
NEON,NEON,KING,eq/L,1509,2015-06-10T00:00:00Z,2020-09-02T00:00:00Z,0.8
NEON,NEON,LECO,eq/L,1489,2015-08-11T00:00:00Z,2020-10-07T00:00:00Z,0.8
NEON,NEON,LEWI,eq/L,1128,2016-10-06T00:00:00Z,2020-10-15T00:00:00Z,0.8
NEON,NEON,MART,eq/L,692,2017-11-08T00:00:00Z,2020-10-08T00:00:00Z,0.6
NEON,NEON,MAYF,eq/L,1861,2014-10-22T00:00:00Z,2020-10-07T00:00:00Z,0.9
NEON,NEON,MCDI,eq/L,1048,2016-12-14T00:00:00Z,2020-07-07T00:00:00Z,0.8
NEON,NEON,MCRA,eq/L,766,2017-06-14T00:00:00Z,2020-07-08T00:00:00Z,0.7
NEON,NEON,OKSR,eq/L,579,2016-07-15T00:00:00Z,2020-09-08T00:00:00Z,0.4
NEON,NEON,POSE,eq/L,1823,2014-07-23T00:00:00Z,2020-10-14T00:00:00Z,0.8
NEON,NEON,PRIN,eq/L,899,2016-08-31T00:00:00Z,2020-02-12T00:00:00Z,0.7
NEON,NEON,REDB,eq/L,1078,2012-02-04T00:00:00Z,2020-10-06T00:00:00Z,0.3
NEON,NEON,SYCA,eq/L,417,2017-06-21T00:00:00Z,2020-10-06T00:00:00Z,0.3
NEON,NEON,TECR,eq/L,299,2018-10-31T00:00:00Z,2020-07-07T00:00:00Z,0.5
NEON,NEON,TOMB,eq/L,1130,2016-10-12T00:00:00Z,2020-10-08T00:00:00Z,0.8
NEON,NEON,WALK,eq/L,1610,2015-04-14T00:00:00Z,2020-10-14T00:00:00Z,0.8
NEON,NEON,WLOU,eq/L,944,2017-05-03T00:00:00Z,2020-07-22T00:00:00Z,0.8
