Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,I-Minus_2_IMP,mg/l,221,2009-06-18T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_REF,mg/l,167,2009-06-18T00:00:00Z,2015-06-18T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_High,mg/l,144,2009-06-18T00:00:00Z,2015-06-18T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_Low,mg/l,174,2009-06-18T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,Toolik_River_IMP,mg/l,261,2009-06-22T00:00:00Z,2015-06-19T00:00:00Z,0.1
LTER,Arctic,Toolik_River_REF,mg/l,263,2009-06-22T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,Toolik_River_TK_Above,mg/l,155,2010-06-15T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,Toolik_River_TK_Low,mg/l,181,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,Toolik_River_TK_Mid,mg/l,130,2009-07-03T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Bonanza Creek,boston_creek,mg/l,109,2005-06-03T00:00:00Z,2006-06-23T00:00:00Z,0.3
LTER,Bonanza Creek,C2,mg/l,3558,2002-05-14T00:00:00Z,2018-08-14T00:00:00Z,0.6
LTER,Bonanza Creek,C3,mg/l,3548,2001-08-24T00:00:00Z,2018-08-14T00:00:00Z,0.6
LTER,Bonanza Creek,C4,mg/l,3411,2001-07-20T00:00:00Z,2018-08-14T00:00:00Z,0.5
LTER,Bonanza Creek,CB,mg/l,1640,2002-05-21T00:00:00Z,2018-06-19T00:00:00Z,0.3
LTER,Bonanza Creek,CJ,mg/l,2174,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4
LTER,Bonanza Creek,P6,mg/l,1662,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3
LTER,Bonanza Creek,PC,mg/l,1922,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3
LTER,Bonanza Creek,PJ,mg/l,2172,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4
