Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,H. J. Andrews,GSLOOK,unitless,24180,1978-12-13T00:00:00Z,2019-05-22T00:00:00Z,1.6
LTER,H. J. Andrews,GSMACK,unitless,59216,1978-12-13T00:00:00Z,2019-05-22T00:00:00Z,4
LTER,H. J. Andrews,GSMACK,unitless,59216,1978-12-13T00:00:00Z,2019-05-22T00:00:00Z,4
LTER,H. J. Andrews,GSWS01,unitless,24814,1978-12-13T00:00:00Z,2019-05-22T00:00:00Z,1.7
LTER,H. J. Andrews,GSWS02,unitless,29963,1978-12-13T00:00:00Z,2019-05-22T00:00:00Z,2
LTER,H. J. Andrews,GSWS03,unitless,19118,1978-12-13T00:00:00Z,2019-05-22T00:00:00Z,1.3
LTER,H. J. Andrews,GSWS06,unitless,25402,1978-10-12T00:00:00Z,2019-05-22T00:00:00Z,1.7
LTER,H. J. Andrews,GSWS07,unitless,25572,1978-10-12T00:00:00Z,2019-05-22T00:00:00Z,1.7
LTER,H. J. Andrews,GSWS08,unitless,30234,1978-10-12T00:00:00Z,2019-05-22T00:00:00Z,2
LTER,H. J. Andrews,GSWS09,unitless,30340,1978-10-12T00:00:00Z,2019-05-22T00:00:00Z,2
LTER,H. J. Andrews,GSWS10,unitless,30339,1978-10-12T00:00:00Z,2019-05-22T00:00:00Z,2
LTER,H. J. Andrews,GSWSMA,unitless,19118,1978-12-13T00:00:00Z,2019-05-22T00:00:00Z,1.3
LTER,H. J. Andrews,GSWSMC,unitless,19118,1978-12-13T00:00:00Z,2019-05-22T00:00:00Z,1.3
LTER,H. J. Andrews,GSWSMF,unitless,19118,1978-12-13T00:00:00Z,2019-05-22T00:00:00Z,1.3
