Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Kuparuk_River_-0.177,mg/cm2,1285,1991-07-18T00:00:00Z,2016-09-25T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.3,mg/cm2,1681,1991-07-18T00:00:00Z,2016-09-25T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.47,mg/cm2,207,1999-08-07T00:00:00Z,2012-08-11T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.7,mg/cm2,200,2005-06-23T00:00:00Z,2006-08-05T00:00:00Z,0.5
LTER,Arctic,Kuparuk_River_0,mg/cm2,710,1991-07-18T00:00:00Z,2007-08-04T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.3,mg/cm2,764,1991-07-18T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,mg/cm2,926,1994-08-07T00:00:00Z,2015-08-13T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.74,mg/cm2,1674,1991-07-18T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1,mg/cm2,1516,1991-07-18T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1.39,mg/cm2,1235,1997-07-18T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1.5,mg/cm2,158,1995-07-18T00:00:00Z,1998-06-16T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.8,mg/cm2,1357,1994-08-07T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_2,mg/cm2,1608,1991-07-18T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_2.5,mg/cm2,1213,1996-07-21T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_3,mg/cm2,1606,1991-07-18T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_4,mg/cm2,1070,1991-07-18T00:00:00Z,2011-08-09T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4.1,mg/cm2,418,2012-06-23T00:00:00Z,2016-08-06T00:00:00Z,0.3
LTER,Arctic,North_River_Main,mg/cm2,19,2011-05-24T00:00:00Z,2015-07-14T00:00:00Z,0
LTER,Arctic,Oksrukuyik_Creek_-0.1,mg/cm2,1118,1994-06-21T00:00:00Z,2016-08-04T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.3,mg/cm2,1206,1994-06-21T00:00:00Z,2016-08-04T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.7,mg/cm2,1226,1994-06-21T00:00:00Z,2016-08-04T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_-1.2,mg/cm2,80,2015-06-27T00:00:00Z,2015-08-05T00:00:00Z,2.1
LTER,Arctic,Oksrukuyik_Creek_0.23,mg/cm2,163,1994-06-21T00:00:00Z,1998-07-11T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_0.48,mg/cm2,159,1994-06-21T00:00:00Z,1996-08-14T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_1.06,mg/cm2,165,1994-06-21T00:00:00Z,1998-07-11T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_1.37,mg/cm2,159,1994-06-21T00:00:00Z,1996-08-14T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_1.7,mg/cm2,165,1994-06-21T00:00:00Z,1998-07-11T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_2.5,mg/cm2,161,1994-06-21T00:00:00Z,1998-07-11T00:00:00Z,0.1
LTER,Arctic,Roche_Moutonnee_Creek_Main,mg/cm2,134,2016-07-13T00:00:00Z,2016-09-17T00:00:00Z,2
LTER,Arctic,South_River_Main,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Trevor_Creek_Main,mg/cm2,134,2016-07-13T00:00:00Z,2016-09-17T00:00:00Z,2
LTER,Arctic,VTK_IMP_Main,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,VTK_REF_Main,mg/cm2,36,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0
