Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Kuparuk_River_-0.177,mg/cm2,1628,1994-08-07T00:00:00Z,2017-09-16T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.3,mg/cm2,1878,1995-07-18T00:00:00Z,2017-09-22T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.47,mg/cm2,207,1999-08-07T00:00:00Z,2012-08-11T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.7,mg/cm2,396,2005-06-23T00:00:00Z,2017-09-22T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0,mg/cm2,731,1995-07-18T00:00:00Z,2007-08-04T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_0.3,mg/cm2,731,1994-08-07T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,mg/cm2,834,1994-08-07T00:00:00Z,2015-08-13T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.74,mg/cm2,1833,1994-08-07T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1,mg/cm2,1687,1994-08-07T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1.39,mg/cm2,1571,1997-06-22T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1.5,mg/cm2,220,1995-07-18T00:00:00Z,1998-06-16T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1.8,mg/cm2,1591,1994-08-07T00:00:00Z,2017-08-26T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_2,mg/cm2,1801,1994-08-07T00:00:00Z,2017-08-26T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_2.5,mg/cm2,1493,1996-06-25T00:00:00Z,2017-08-26T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_3,mg/cm2,1713,1995-07-18T00:00:00Z,2017-08-26T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_4,mg/cm2,1133,1995-07-18T00:00:00Z,2011-08-09T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_4.1,mg/cm2,450,2012-06-23T00:00:00Z,2016-08-06T00:00:00Z,0.3
LTER,Arctic,North_River_Main,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.1,mg/cm2,1348,1994-06-21T00:00:00Z,2017-08-24T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_-0.3,mg/cm2,1448,1994-06-21T00:00:00Z,2017-08-24T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_-0.7,mg/cm2,1281,1994-06-21T00:00:00Z,2017-08-24T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_-1.2,mg/cm2,80,2015-06-27T00:00:00Z,2015-08-05T00:00:00Z,2.1
LTER,Arctic,Oksrukuyik_Creek_0.23,mg/cm2,161,1994-06-21T00:00:00Z,1997-07-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_0.48,mg/cm2,159,1994-06-21T00:00:00Z,1996-08-14T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_1.06,mg/cm2,163,1994-06-21T00:00:00Z,1997-07-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_1.37,mg/cm2,159,1994-06-21T00:00:00Z,1996-08-14T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_1.7,mg/cm2,163,1994-06-21T00:00:00Z,1997-07-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_2.5,mg/cm2,159,1994-06-21T00:00:00Z,1996-08-14T00:00:00Z,0.2
LTER,Arctic,Roche_Moutonnee_Creek_Main,mg/cm2,318,2016-07-13T00:00:00Z,2017-09-19T00:00:00Z,0.7
LTER,Arctic,South_River_Main,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Trevor_Creek_Main,mg/cm2,318,2016-07-13T00:00:00Z,2017-09-19T00:00:00Z,0.7
LTER,Arctic,VTK_IMP_Main,mg/cm2,66,2013-06-29T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,VTK_REF_Main,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
