Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,McMurdo Dry Valleys,aiken_f5,mg/L,539,1995-01-14T00:00:00Z,2012-01-26T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,andrsn_h1,mg/L,280,1995-01-15T00:00:00Z,2011-01-17T00:00:00Z,0
LTER,McMurdo Dry Valleys,bartlt_mouth,mg/L,2,1995-01-18T00:00:00Z,2008-01-11T00:00:00Z,0
LTER,McMurdo Dry Valleys,bowles_mouth,mg/L,280,1994-12-14T00:00:00Z,2011-01-10T00:00:00Z,0
LTER,McMurdo Dry Valleys,bowles_mouth,mg/L,280,1994-12-14T00:00:00Z,2011-01-10T00:00:00Z,0
LTER,McMurdo Dry Valleys,canada_f1,mg/L,515,1994-12-14T00:00:00Z,2011-01-13T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,common_c1,mg/L,505,1994-12-21T00:00:00Z,2011-01-10T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,crescent_f8,mg/L,316,1994-12-21T00:00:00Z,2011-01-21T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,delta_f10,mg/L,355,1995-01-13T00:00:00Z,2012-12-18T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,green_f9,mg/L,418,1996-01-19T00:00:00Z,2011-01-10T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,harnish_f11,mg/L,3,1996-12-26T00:00:00Z,2009-01-26T00:00:00Z,0
LTER,McMurdo Dry Valleys,harnish_f7,mg/L,283,1998-01-15T00:00:00Z,2011-01-21T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,house_h2,mg/L,183,1996-12-15T00:00:00Z,2010-12-26T00:00:00Z,0
LTER,McMurdo Dry Valleys,huey_f2,mg/L,144,1996-12-19T00:00:00Z,2010-12-29T00:00:00Z,0
LTER,McMurdo Dry Valleys,lawson_b3,mg/L,243,1994-11-30T00:00:00Z,2011-01-15T00:00:00Z,0
LTER,McMurdo Dry Valleys,lostseal_f3,mg/L,594,1994-12-20T00:00:00Z,2011-01-20T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,lyons_b4,mg/L,175,1994-12-15T00:00:00Z,2012-01-14T00:00:00Z,0
LTER,McMurdo Dry Valleys,mariah_mouth,mg/L,92,1994-12-14T00:00:00Z,2013-01-15T00:00:00Z,0
LTER,McMurdo Dry Valleys,mason_mouth,mg/L,37,2004-12-10T00:00:00Z,2007-12-29T00:00:00Z,0
LTER,McMurdo Dry Valleys,mckay_mouth,mg/L,70,1995-01-16T00:00:00Z,2010-12-26T00:00:00Z,0
LTER,McMurdo Dry Valleys,mcknight_mouth,mg/L,150,1996-01-19T00:00:00Z,2011-01-20T00:00:00Z,0
LTER,McMurdo Dry Valleys,onyx_lwright,mg/L,412,1994-12-29T00:00:00Z,2011-01-28T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,onyx_vnda,mg/L,276,1994-12-30T00:00:00Z,2010-12-17T00:00:00Z,0
LTER,McMurdo Dry Valleys,priscu_b1,mg/L,171,1994-12-15T00:00:00Z,2010-12-27T00:00:00Z,0
LTER,McMurdo Dry Valleys,red_bfalls,mg/L,345,1994-11-30T00:00:00Z,2013-12-16T00:00:00Z,0
LTER,McMurdo Dry Valleys,santafe_b2,mg/L,364,1994-11-30T00:00:00Z,2013-01-14T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,sharp_mouth,mg/L,23,1994-12-17T00:00:00Z,2011-01-15T00:00:00Z,0
LTER,McMurdo Dry Valleys,vguerard_f6,mg/L,336,1995-01-14T00:00:00Z,2010-12-30T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,vguerard_upper,mg/L,116,2000-12-23T00:00:00Z,2008-01-30T00:00:00Z,0
LTER,McMurdo Dry Valleys,wharton_mouth,mg/L,69,2004-12-24T00:00:00Z,2010-12-26T00:00:00Z,0
LTER,Plum Island Ecosystem,bear_meadow,mg/L,1536,2008-06-24T00:00:00Z,2016-12-13T00:00:00Z,0.5
LTER,Plum Island Ecosystem,cart_creek,mg/L,2519,2008-06-24T00:00:00Z,2016-12-13T00:00:00Z,0.8
LTER,Plum Island Ecosystem,ipswich_dam,mg/L,1562,2008-06-24T00:00:00Z,2016-12-11T00:00:00Z,0.5
LTER,Plum Island Ecosystem,parker_dam,mg/L,1513,2008-06-24T00:00:00Z,2016-12-11T00:00:00Z,0.5
LTER,Plum Island Ecosystem,saw_mill_brook,mg/L,2630,2008-06-24T00:00:00Z,2016-12-13T00:00:00Z,0.9
NEON,NEON,ARIK,mg/L,1646,2012-02-01T00:00:00Z,2020-03-11T00:00:00Z,0.6
NEON,NEON,BIGC,mg/L,474,2018-02-20T00:00:00Z,2019-12-05T00:00:00Z,0.7
NEON,NEON,BLDE,mg/L,491,2018-03-07T00:00:00Z,2019-11-13T00:00:00Z,0.8
NEON,NEON,BLUE,mg/L,1178,2017-03-09T00:00:00Z,2020-03-10T00:00:00Z,1.1
NEON,NEON,BLWA,mg/L,1024,2016-10-05T00:00:00Z,2019-12-18T00:00:00Z,0.9
NEON,NEON,CARI,mg/L,591,2016-10-05T00:00:00Z,2019-12-10T00:00:00Z,0.5
NEON,NEON,COMO,mg/L,884,2015-05-22T00:00:00Z,2019-12-18T00:00:00Z,0.5
NEON,NEON,CUPE,mg/L,1382,2014-12-31T00:00:00Z,2020-09-11T00:00:00Z,0.7
NEON,NEON,FLNT,mg/L,811,2017-03-08T00:00:00Z,2019-12-18T00:00:00Z,0.8
NEON,NEON,GUIL,mg/L,1349,2015-01-23T00:00:00Z,2020-08-21T00:00:00Z,0.7
NEON,NEON,HOPB,mg/L,994,2016-10-19T00:00:00Z,2019-12-10T00:00:00Z,0.9
NEON,NEON,KING,mg/L,1057,2015-06-10T00:00:00Z,2019-11-06T00:00:00Z,0.7
NEON,NEON,LECO,mg/L,931,2015-08-11T00:00:00Z,2019-12-17T00:00:00Z,0.6
NEON,NEON,LEWI,mg/L,939,2016-10-06T00:00:00Z,2019-12-12T00:00:00Z,0.8
NEON,NEON,MART,mg/L,669,2017-11-08T00:00:00Z,2019-12-18T00:00:00Z,0.9
NEON,NEON,MAYF,mg/L,1281,2014-10-22T00:00:00Z,2019-12-13T00:00:00Z,0.7
NEON,NEON,MCDI,mg/L,927,2016-12-14T00:00:00Z,2019-11-13T00:00:00Z,0.9
NEON,NEON,MCRA,mg/L,714,2017-06-14T00:00:00Z,2019-12-20T00:00:00Z,0.8
NEON,NEON,OKSR,mg/L,487,2017-05-23T00:00:00Z,2019-11-06T00:00:00Z,0.5
NEON,NEON,POSE,mg/L,1227,2014-10-29T00:00:00Z,2019-12-11T00:00:00Z,0.7
NEON,NEON,PRIN,mg/L,1021,2016-10-05T00:00:00Z,2020-03-04T00:00:00Z,0.8
NEON,NEON,REDB,mg/L,910,2012-02-04T00:00:00Z,2019-12-04T00:00:00Z,0.3
NEON,NEON,SYCA,mg/L,488,2017-06-21T00:00:00Z,2020-03-04T00:00:00Z,0.5
NEON,NEON,TECR,mg/L,284,2018-10-31T00:00:00Z,2019-11-14T00:00:00Z,0.7
NEON,NEON,TOMB,mg/L,1088,2016-10-12T00:00:00Z,2019-12-17T00:00:00Z,0.9
NEON,NEON,WALK,mg/L,1194,2015-04-14T00:00:00Z,2019-12-17T00:00:00Z,0.7
NEON,NEON,WLOU,mg/L,852,2017-05-03T00:00:00Z,2019-12-11T00:00:00Z,0.9
