Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Dimple_Inlet_Main,mg/L,99,2008-06-20T00:00:00Z,2010-08-18T00:00:00Z,0.1
LTER,Arctic,Dimple_Outlet_Main,mg/L,80,2008-06-20T00:00:00Z,2009-07-19T00:00:00Z,0.2
LTER,Arctic,I-Minus_2_IMP,mg/L,24,2013-07-04T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_REF,mg/L,24,2013-07-04T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_High,mg/L,23,2013-07-04T00:00:00Z,2015-06-18T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_Low,mg/L,24,2013-07-04T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_A,mg/L,159,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_AA,mg/L,159,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_B,mg/L,159,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_C,mg/L,131,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_D,mg/L,159,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_E,mg/L,159,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.1,mg/L,54,2005-06-21T00:00:00Z,2006-08-05T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.177,mg/L,536,2004-06-24T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.3,mg/L,615,2004-06-24T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.47,mg/L,104,2010-08-17T00:00:00Z,2013-06-18T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.7,mg/L,26,2017-06-25T00:00:00Z,2017-08-27T00:00:00Z,0.4
LTER,Arctic,Kuparuk_River_0,mg/L,54,2012-06-21T00:00:00Z,2013-06-18T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.3,mg/L,244,2011-08-10T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,mg/L,569,2004-06-24T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.74,mg/L,613,2004-06-24T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1,mg/L,609,2004-06-24T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.39,mg/L,609,2004-06-24T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.8,mg/L,635,2004-06-24T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2,mg/L,635,2004-06-24T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2.5,mg/L,563,2004-06-24T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_3,mg/L,566,2005-06-21T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4,mg/L,366,2004-06-24T00:00:00Z,2011-08-10T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4.1,mg/L,243,2012-06-21T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,North_River_Main,mg/L,173,2008-07-10T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.1,mg/L,577,2004-06-22T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.3,mg/L,559,2004-06-22T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.7,mg/L,522,2004-06-22T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-1.2,mg/L,40,2015-06-27T00:00:00Z,2015-08-05T00:00:00Z,1
LTER,Arctic,South_River_Main,mg/L,186,2008-06-20T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Toolik_River_IMP,mg/L,55,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,Toolik_River_REF,mg/L,85,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,Toolik_River_TK_Above,mg/L,31,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_TK_Low,mg/L,28,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_TK_Mid,mg/L,55,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,VTK_IMP_Main,mg/L,111,2010-06-23T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,VTK_REF_Main,mg/L,111,2010-06-23T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Plum Island Ecosystem,ipswich_dam,mg/L,126,1994-03-29T00:00:00Z,2000-12-22T00:00:00Z,0.1
LTER,Plum Island Ecosystem,parker_dam,mg/L,126,1994-03-29T00:00:00Z,2000-12-22T00:00:00Z,0.1
NEON,NEON,ARIK,mg/L,1405,2016-08-13T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,BIGC,mg/L,740,2018-05-26T00:00:00Z,2020-12-01T00:00:00Z,0.8
NEON,NEON,BLDE,mg/L,766,2018-09-25T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,BLUE,mg/L,523,2018-11-16T00:00:00Z,2020-08-16T00:00:00Z,0.8
NEON,NEON,BLWA,mg/L,192,2018-12-06T00:00:00Z,2020-01-05T00:00:00Z,0.5
NEON,NEON,CARI,mg/L,423,2018-06-07T00:00:00Z,2020-10-22T00:00:00Z,0.5
NEON,NEON,COMO,mg/L,1169,2017-05-26T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,CUPE,mg/L,929,2018-05-18T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,FLNT,mg/L,528,2018-05-01T00:00:00Z,2020-12-01T00:00:00Z,0.6
NEON,NEON,GUIL,mg/L,804,2018-05-31T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,HOPB,mg/L,619,2017-10-03T00:00:00Z,2020-12-01T00:00:00Z,0.5
NEON,NEON,KING,mg/L,921,2016-09-16T00:00:00Z,2020-11-14T00:00:00Z,0.6
NEON,NEON,LECO,mg/L,1043,2017-04-03T00:00:00Z,2020-12-01T00:00:00Z,0.8
NEON,NEON,LEWI,mg/L,1156,2017-10-03T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,MART,mg/L,1016,2018-02-20T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,MAYF,mg/L,1262,2016-10-08T00:00:00Z,2020-11-11T00:00:00Z,0.8
NEON,NEON,MCDI,mg/L,981,2017-11-16T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,MCRA,mg/L,1010,2017-11-18T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,OKSR,mg/L,98,2019-06-20T00:00:00Z,2019-09-25T00:00:00Z,1
NEON,NEON,POSE,mg/L,1305,2016-10-12T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,PRIN,mg/L,1066,2017-10-03T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,REDB,mg/L,472,2018-06-30T00:00:00Z,2020-12-01T00:00:00Z,0.5
NEON,NEON,SYCA,mg/L,459,2019-02-06T00:00:00Z,2020-11-30T00:00:00Z,0.7
NEON,NEON,TECR,mg/L,485,2018-12-05T00:00:00Z,2020-12-01T00:00:00Z,0.7
NEON,NEON,TOMB,mg/L,156,2018-12-19T00:00:00Z,2019-11-03T00:00:00Z,0.5
NEON,NEON,WALK,mg/L,1402,2016-08-10T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,WLOU,mg/L,954,2017-10-31T00:00:00Z,2020-12-01T00:00:00Z,0.8
