Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Dimple_Inlet_Main,mg/L,70,2009-06-08T00:00:00Z,2009-08-16T00:00:00Z,1
LTER,Arctic,Dimple_Outlet_Main,mg/L,107,2009-06-11T00:00:00Z,2010-08-19T00:00:00Z,0.2
LTER,Arctic,I-Minus_2_IMP,mg/L,240,2008-07-03T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_REF,mg/L,239,2008-07-03T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_High,mg/L,179,2008-07-03T00:00:00Z,2015-06-18T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_Low,mg/L,225,2008-07-03T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_A,mg/L,134,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_AA,mg/L,105,2009-08-01T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_B,mg/L,134,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_C,mg/L,106,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_D,mg/L,105,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_E,mg/L,134,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.3,mg/L,724,1990-06-10T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.47,mg/L,206,2011-06-22T00:00:00Z,2013-06-18T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_0.3,mg/L,4,1995-07-08T00:00:00Z,2013-07-16T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0.56,mg/L,1402,1988-07-05T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.5,mg/L,96,2013-08-17T00:00:00Z,2013-10-03T00:00:00Z,2
LTER,Arctic,Kuparuk_River_2,mg/L,1164,1995-07-15T00:00:00Z,2017-08-27T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2.5,mg/L,34,1993-06-17T00:00:00Z,1993-08-12T00:00:00Z,0.6
LTER,Arctic,North_River_Main,mg/L,199,2009-06-17T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.1,mg/L,691,1991-06-14T00:00:00Z,2007-08-02T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.7,mg/L,1071,1989-07-07T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-1.2,mg/L,80,2015-06-27T00:00:00Z,2015-08-05T00:00:00Z,2.1
