Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Dimple_Inlet_Main,mg/L,19,2009-07-19T00:00:00Z,2010-08-18T00:00:00Z,0
LTER,Arctic,Dimple_Outlet_Main,mg/L,1,2009-07-19T00:00:00Z,2009-07-19T00:00:00Z,Inf
LTER,Arctic,North_River_Main,mg/L,118,2009-06-17T00:00:00Z,2010-08-13T00:00:00Z,0.3
LTER,Arctic,South_River_Main,mg/L,65,2008-05-27T00:00:00Z,2010-08-13T00:00:00Z,0.1
LTER,Arctic,VTK_IMP_Main,mg/L,44,2010-06-23T00:00:00Z,2010-08-05T00:00:00Z,1
LTER,Arctic,VTK_REF_Main,mg/L,44,2010-06-23T00:00:00Z,2010-08-05T00:00:00Z,1
LTER,Bonanza Creek,boston_creek,mg/L,109,2005-06-03T00:00:00Z,2006-06-23T00:00:00Z,0.3
LTER,Bonanza Creek,C2,mg/L,3558,2002-05-14T00:00:00Z,2018-08-14T00:00:00Z,0.6
LTER,Bonanza Creek,C3,mg/L,3555,2001-08-24T00:00:00Z,2018-08-14T00:00:00Z,0.6
LTER,Bonanza Creek,C4,mg/L,3446,2001-07-20T00:00:00Z,2018-08-14T00:00:00Z,0.6
LTER,Bonanza Creek,CB,mg/L,1640,2002-05-21T00:00:00Z,2018-06-19T00:00:00Z,0.3
LTER,Bonanza Creek,CJ,mg/L,2116,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4
LTER,Bonanza Creek,P6,mg/L,1662,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3
LTER,Bonanza Creek,PC,mg/L,1893,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3
LTER,Bonanza Creek,PJ,mg/L,2090,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4
LTER,HBEF,w1,mg/L,16275,1996-05-29T00:00:00Z,2019-05-29T00:00:00Z,1.9
LTER,HBEF,w2,mg/L,15573,1994-12-06T00:00:00Z,2019-05-29T00:00:00Z,1.7
LTER,HBEF,w3,mg/L,16549,1996-05-29T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,HBEF,w4,mg/L,16549,1996-05-29T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,HBEF,w5,mg/L,16331,1996-05-29T00:00:00Z,2019-05-29T00:00:00Z,1.9
LTER,HBEF,w6,mg/L,18273,1994-01-04T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,HBEF,w7,mg/L,16733,1996-05-29T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,HBEF,w8,mg/L,16719,1996-05-29T00:00:00Z,2019-05-29T00:00:00Z,2
LTER,HBEF,w9,mg/L,16651,1996-05-29T00:00:00Z,2019-05-29T00:00:00Z,2
NEON,NEON,ARIK,mg/L,1510,2012-02-01T00:00:00Z,2020-03-11T00:00:00Z,0.5
NEON,NEON,BIGC,mg/L,504,2018-02-20T00:00:00Z,2020-03-11T00:00:00Z,0.7
NEON,NEON,BLDE,mg/L,549,2018-03-07T00:00:00Z,2020-06-24T00:00:00Z,0.7
NEON,NEON,BLUE,mg/L,855,2017-03-09T00:00:00Z,2020-02-12T00:00:00Z,0.8
NEON,NEON,BLWA,mg/L,1041,2016-10-05T00:00:00Z,2020-03-19T00:00:00Z,0.8
NEON,NEON,CARI,mg/L,658,2016-10-05T00:00:00Z,2020-06-17T00:00:00Z,0.5
NEON,NEON,COMO,mg/L,927,2015-05-22T00:00:00Z,2020-06-23T00:00:00Z,0.5
NEON,NEON,CUPE,mg/L,1091,2014-12-31T00:00:00Z,2020-06-23T00:00:00Z,0.5
NEON,NEON,FLNT,mg/L,875,2017-03-08T00:00:00Z,2020-06-24T00:00:00Z,0.7
NEON,NEON,GUIL,mg/L,1054,2015-01-23T00:00:00Z,2020-03-04T00:00:00Z,0.6
NEON,NEON,HOPB,mg/L,996,2016-10-19T00:00:00Z,2020-06-24T00:00:00Z,0.7
NEON,NEON,KING,mg/L,1122,2015-06-10T00:00:00Z,2020-06-16T00:00:00Z,0.6
NEON,NEON,LECO,mg/L,988,2015-08-11T00:00:00Z,2020-06-23T00:00:00Z,0.6
