Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Baltimore,BARN,mg/L,5304,2001-10-10T00:00:00Z,2017-11-17T00:00:00Z,0.9
LTER,Baltimore,DRKR,mg/L,1993,2001-10-10T00:00:00Z,2017-03-09T00:00:00Z,0.4
LTER,Baltimore,GFCP,mg/L,228,2001-11-01T00:00:00Z,2018-03-16T00:00:00Z,0
LTER,Baltimore,GFGB,mg/L,5210,2001-10-03T00:00:00Z,2017-11-17T00:00:00Z,0.9
LTER,Baltimore,GFGL,mg/L,5119,2001-10-10T00:00:00Z,2017-11-17T00:00:00Z,0.9
LTER,Baltimore,GFVN,mg/L,2893,2001-10-03T00:00:00Z,2017-11-17T00:00:00Z,0.5
LTER,Baltimore,JBHH,mg/L,4,2007-12-12T00:00:00Z,2008-12-24T00:00:00Z,0
LTER,Baltimore,JBON,mg/L,2,2007-12-12T00:00:00Z,2008-12-24T00:00:00Z,0
LTER,Baltimore,MAWI,mg/L,34,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0
LTER,Baltimore,MCDN,mg/L,4350,2001-10-03T00:00:00Z,2017-11-17T00:00:00Z,0.7
LTER,Baltimore,POBR,mg/L,5311,2001-10-03T00:00:00Z,2017-11-17T00:00:00Z,0.9
LTER,Baltimore,RGHT,mg/L,414,2003-03-20T00:00:00Z,2017-01-13T00:00:00Z,0.1
LTER,Plum Island Ecosystem,bear_meadow,mg/L,25,2006-04-23T00:00:00Z,2006-05-17T00:00:00Z,1
LTER,Plum Island Ecosystem,cart_creek,mg/L,3988,2001-06-22T00:00:00Z,2018-11-06T00:00:00Z,0.6
LTER,Plum Island Ecosystem,fish_brook,mg/L,441,2001-06-23T00:00:00Z,2002-12-04T00:00:00Z,0.8
LTER,Plum Island Ecosystem,ipswich_dam,mg/L,799,2015-05-29T00:00:00Z,2018-01-20T00:00:00Z,0.8
LTER,Plum Island Ecosystem,saw_mill_brook,mg/L,972,2001-06-23T00:00:00Z,2004-12-23T00:00:00Z,0.8
LTER,Plum Island Ecosystem,upper_ipswich,mg/L,638,2001-06-28T00:00:00Z,2003-12-23T00:00:00Z,0.7
NEON,NEON,ARIK,mg/L,1359,2016-08-13T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,BIGC,mg/L,740,2018-05-26T00:00:00Z,2020-12-01T00:00:00Z,0.8
NEON,NEON,BLDE,mg/L,766,2018-09-25T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,BLUE,mg/L,530,2018-11-09T00:00:00Z,2020-08-16T00:00:00Z,0.8
NEON,NEON,BLWA,mg/L,192,2018-12-06T00:00:00Z,2020-01-05T00:00:00Z,0.5
NEON,NEON,CARI,mg/L,423,2018-06-07T00:00:00Z,2020-10-22T00:00:00Z,0.5
NEON,NEON,COMO,mg/L,1169,2017-05-26T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,CUPE,mg/L,929,2018-05-18T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,FLNT,mg/L,528,2018-05-01T00:00:00Z,2020-12-01T00:00:00Z,0.6
NEON,NEON,GUIL,mg/L,804,2018-05-31T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,HOPB,mg/L,619,2017-10-03T00:00:00Z,2020-12-01T00:00:00Z,0.5
NEON,NEON,KING,mg/L,921,2016-09-16T00:00:00Z,2020-11-14T00:00:00Z,0.6
NEON,NEON,LECO,mg/L,955,2017-04-03T00:00:00Z,2020-12-01T00:00:00Z,0.7
NEON,NEON,LEWI,mg/L,1156,2017-10-03T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,MART,mg/L,1016,2018-02-20T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,MAYF,mg/L,1213,2016-10-08T00:00:00Z,2020-11-11T00:00:00Z,0.8
NEON,NEON,MCDI,mg/L,981,2017-11-16T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,MCRA,mg/L,817,2017-11-18T00:00:00Z,2020-12-01T00:00:00Z,0.7
NEON,NEON,OKSR,mg/L,98,2019-06-20T00:00:00Z,2019-09-25T00:00:00Z,1
NEON,NEON,POSE,mg/L,1274,2016-10-12T00:00:00Z,2020-12-01T00:00:00Z,0.8
NEON,NEON,PRIN,mg/L,1066,2017-10-03T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,REDB,mg/L,472,2018-06-30T00:00:00Z,2020-12-01T00:00:00Z,0.5
NEON,NEON,SYCA,mg/L,459,2019-02-06T00:00:00Z,2020-11-30T00:00:00Z,0.7
NEON,NEON,TECR,mg/L,485,2018-12-05T00:00:00Z,2020-12-01T00:00:00Z,0.7
NEON,NEON,TOMB,mg/L,156,2018-12-19T00:00:00Z,2019-11-03T00:00:00Z,0.5
NEON,NEON,WALK,mg/L,1361,2016-08-10T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,WLOU,mg/L,954,2017-10-31T00:00:00Z,2020-12-01T00:00:00Z,0.8
