Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Dimple_Inlet_Main,mg/L,161,2008-05-25T00:00:00Z,2010-08-18T00:00:00Z,0.2
LTER,Arctic,Dimple_Outlet_Main,mg/L,172,2008-05-27T00:00:00Z,2010-08-19T00:00:00Z,0.2
LTER,Arctic,I-Minus_2_IMP,mg/L,257,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_REF,mg/L,283,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_High,mg/L,206,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_Low,mg/L,268,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_A,mg/L,177,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_AA,mg/L,176,2008-07-08T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_B,mg/L,178,2004-07-18T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_C,mg/L,177,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_D,mg/L,177,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_E,mg/L,178,2004-07-18T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.1,mg/L,340,2016-06-18T00:00:00Z,2017-10-06T00:00:00Z,0.7
LTER,Arctic,Kuparuk_River_-0.177,mg/L,1498,1994-07-16T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.3,mg/L,2678,1978-05-21T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.47,mg/L,206,2011-06-22T00:00:00Z,2013-06-18T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_-0.7,mg/L,142,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_0,mg/L,108,2012-06-21T00:00:00Z,2013-06-18T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_0.3,mg/L,490,2011-06-22T00:00:00Z,2016-08-06T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_0.56,mg/L,1760,1994-06-30T00:00:00Z,2015-08-08T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_0.74,mg/L,871,1996-07-06T00:00:00Z,2017-10-11T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1,mg/L,872,2006-06-15T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1.39,mg/L,1029,2004-06-24T00:00:00Z,2017-06-16T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1.5,mg/L,280,2013-08-17T00:00:00Z,2014-09-28T00:00:00Z,0.7
LTER,Arctic,Kuparuk_River_1.8,mg/L,988,2004-08-12T00:00:00Z,2017-09-08T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_2,mg/L,1022,2004-06-24T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_2.5,mg/L,900,2007-06-21T00:00:00Z,2017-09-08T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_3,mg/L,922,2006-07-06T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_4,mg/L,382,2007-06-21T00:00:00Z,2011-08-10T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_4.1,mg/L,486,2012-06-21T00:00:00Z,2016-08-06T00:00:00Z,0.3
LTER,Arctic,North_River_Main,mg/L,199,2009-06-17T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.1,mg/L,1226,1994-08-06T00:00:00Z,2017-08-25T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.3,mg/L,1283,1994-08-06T00:00:00Z,2017-08-25T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_-0.7,mg/L,1424,1994-08-06T00:00:00Z,2017-08-25T00:00:00Z,0.2
