Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Bonanza Creek,boston_creek,mg/L,109,2005-06-03T00:00:00Z,2006-06-23T00:00:00Z,0.3
LTER,Bonanza Creek,C2,mg/L,3497,2002-05-14T00:00:00Z,2018-08-14T00:00:00Z,0.6
LTER,Bonanza Creek,C3,mg/L,3519,2001-08-24T00:00:00Z,2018-08-14T00:00:00Z,0.6
LTER,Bonanza Creek,C4,mg/L,3384,2001-07-20T00:00:00Z,2018-08-14T00:00:00Z,0.5
LTER,Bonanza Creek,CB,mg/L,1660,2002-05-21T00:00:00Z,2018-06-19T00:00:00Z,0.3
LTER,Bonanza Creek,CJ,mg/L,2101,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.4
LTER,Bonanza Creek,P6,mg/L,1632,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.3
LTER,Bonanza Creek,PC,mg/L,1879,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3
LTER,Bonanza Creek,PJ,mg/L,2075,2002-05-14T00:00:00Z,2018-08-28T00:00:00Z,0.3
LTER,HBEF,w1,mg/L,21056,1995-06-06T00:00:00Z,2019-05-29T00:00:00Z,2.4
LTER,HBEF,w2,mg/L,20760,1995-06-06T00:00:00Z,2019-05-29T00:00:00Z,2.4
LTER,HBEF,w3,mg/L,21052,1995-06-06T00:00:00Z,2019-05-29T00:00:00Z,2.4
LTER,HBEF,w4,mg/L,21052,1995-06-06T00:00:00Z,2019-05-29T00:00:00Z,2.4
LTER,HBEF,w5,mg/L,20874,1995-06-06T00:00:00Z,2019-05-29T00:00:00Z,2.4
LTER,HBEF,w6,mg/L,21046,1995-06-06T00:00:00Z,2019-05-29T00:00:00Z,2.4
LTER,HBEF,w7,mg/L,21052,1995-06-06T00:00:00Z,2019-05-29T00:00:00Z,2.4
LTER,HBEF,w8,mg/L,21052,1995-06-06T00:00:00Z,2019-05-29T00:00:00Z,2.4
LTER,HBEF,w9,mg/L,20984,1995-06-06T00:00:00Z,2019-05-29T00:00:00Z,2.4
LTER,H. J. Andrews,GSLOOK,mg/L,34128,1968-10-21T00:00:00Z,2019-05-21T00:00:00Z,1.8
LTER,H. J. Andrews,GSMACK,mg/L,74448,1968-10-21T00:00:00Z,2019-05-22T00:00:00Z,4
LTER,H. J. Andrews,GSMACK,mg/L,74448,1968-10-21T00:00:00Z,2019-05-22T00:00:00Z,4
LTER,H. J. Andrews,GSWS01,mg/L,35150,1968-10-21T00:00:00Z,2019-05-21T00:00:00Z,1.9
LTER,H. J. Andrews,GSWS02,mg/L,50726,1968-10-21T00:00:00Z,2019-05-21T00:00:00Z,2.7
LTER,H. J. Andrews,GSWS03,mg/L,24004,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z,1.4
LTER,H. J. Andrews,GSWS06,mg/L,33449,1968-10-21T00:00:00Z,2019-05-22T00:00:00Z,1.8
LTER,H. J. Andrews,GSWS07,mg/L,33607,1968-10-21T00:00:00Z,2019-05-22T00:00:00Z,1.8
LTER,H. J. Andrews,GSWS08,mg/L,38705,1968-10-21T00:00:00Z,2019-05-22T00:00:00Z,2.1
LTER,H. J. Andrews,GSWS09,mg/L,39906,1968-10-09T00:00:00Z,2019-05-21T00:00:00Z,2.2
LTER,H. J. Andrews,GSWS10,mg/L,40396,1968-10-09T00:00:00Z,2019-05-21T00:00:00Z,2.2
LTER,H. J. Andrews,GSWSMA,mg/L,24004,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z,1.4
LTER,H. J. Andrews,GSWSMC,mg/L,24004,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z,1.4
LTER,H. J. Andrews,GSWSMF,mg/L,24004,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z,1.4
LTER,Plum Island Ecosystem,bear_meadow,mg/L,3595,2006-09-11T00:00:00Z,2017-12-04T00:00:00Z,0.9
LTER,Plum Island Ecosystem,cart_creek,mg/L,5120,2006-09-13T00:00:00Z,2017-12-03T00:00:00Z,1.2
LTER,Plum Island Ecosystem,egypt_river,mg/L,3339,1999-02-25T00:00:00Z,2017-11-17T00:00:00Z,0.5
LTER,Plum Island Ecosystem,ipswich_dam,mg/L,5654,1993-09-21T00:00:00Z,2017-12-04T00:00:00Z,0.6
LTER,Plum Island Ecosystem,little_river,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf
LTER,Plum Island Ecosystem,mill_river,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf
LTER,Plum Island Ecosystem,parker_dam,mg/L,5760,1993-06-19T00:00:00Z,2017-12-03T00:00:00Z,0.6
LTER,Plum Island Ecosystem,saw_mill_brook,mg/L,4930,2006-07-26T00:00:00Z,2017-12-04T00:00:00Z,1.2
