Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Niwot,ALBION,mg/L,7459,1997-01-31T00:00:00Z,2018-09-07T00:00:00Z,0.9
LTER,Niwot,ALBION_INLET,mg/L,1306,1998-02-13T00:00:00Z,2004-10-22T00:00:00Z,0.5
LTER,Niwot,FLUME,mg/L,1088,2005-06-17T00:00:00Z,2016-06-17T00:00:00Z,0.3
LTER,Niwot,GREEN1,mg/L,924,1998-05-29T00:00:00Z,2010-10-08T00:00:00Z,0.2
LTER,Niwot,GREEN4,mg/L,6785,1995-10-06T00:00:00Z,2018-09-26T00:00:00Z,0.8
LTER,Niwot,GREEN5,mg/L,2509,1998-06-05T00:00:00Z,2018-09-21T00:00:00Z,0.3
LTER,Niwot,MARTINELLI,mg/L,2822,1997-05-13T00:00:00Z,2018-08-17T00:00:00Z,0.4
LTER,Niwot,NAVAJO,mg/L,2080,1998-05-22T00:00:00Z,2018-09-07T00:00:00Z,0.3
LTER,Niwot,ROCK_GLACIER,mg/L,1633,1998-07-17T00:00:00Z,2018-09-13T00:00:00Z,0.2
LTER,Niwot,SADDLE,mg/L,2867,1998-05-29T00:00:00Z,2018-07-04T00:00:00Z,0.4
LTER,Niwot,SADDLE_007,mg/L,1816,1997-05-22T00:00:00Z,2018-06-21T00:00:00Z,0.2
LTER,Niwot,SODDIE,mg/L,619,1999-06-05T00:00:00Z,2013-06-25T00:00:00Z,0.1
LTER,Plum Island Ecosystem,egypt_river,mg/L,3683,1999-02-25T00:00:00Z,2017-12-09T00:00:00Z,0.5
LTER,Plum Island Ecosystem,ipswich_dam,mg/L,4091,1993-09-21T00:00:00Z,2017-12-09T00:00:00Z,0.5
LTER,Plum Island Ecosystem,little_river,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf
LTER,Plum Island Ecosystem,mill_river,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf
LTER,Plum Island Ecosystem,parker_dam,mg/L,4198,1993-09-21T00:00:00Z,2017-12-09T00:00:00Z,0.5
