Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Kuparuk_River_-0.1,mg/cm2,52,2006-06-15T00:00:00Z,2006-08-05T00:00:00Z,1
LTER,Arctic,Kuparuk_River_-0.177,mg/cm2,658,2004-06-19T00:00:00Z,2017-09-16T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.3,mg/cm2,715,2004-07-27T00:00:00Z,2017-09-22T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.47,mg/cm2,102,2010-07-17T00:00:00Z,2012-08-11T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.7,mg/cm2,98,2017-06-17T00:00:00Z,2017-09-22T00:00:00Z,1
LTER,Arctic,Kuparuk_River_0,mg/cm2,111,2004-06-19T00:00:00Z,2007-08-04T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.3,mg/cm2,237,2011-08-09T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,mg/cm2,417,2006-06-15T00:00:00Z,2015-08-13T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.74,mg/cm2,568,2004-06-19T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1,mg/cm2,569,2004-06-19T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.39,mg/cm2,565,2004-06-19T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.8,mg/cm2,578,2004-06-19T00:00:00Z,2017-08-26T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2,mg/cm2,556,2004-06-19T00:00:00Z,2017-08-26T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2.5,mg/cm2,556,2004-06-19T00:00:00Z,2017-08-26T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_3,mg/cm2,540,2005-06-23T00:00:00Z,2017-08-26T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4,mg/cm2,329,2004-06-19T00:00:00Z,2011-08-09T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4.1,mg/cm2,225,2012-06-23T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,North_River_Main,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.1,mg/cm2,579,2004-06-22T00:00:00Z,2017-08-24T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.3,mg/cm2,579,2004-06-22T00:00:00Z,2017-08-24T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.7,mg/cm2,579,2004-06-22T00:00:00Z,2017-08-24T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-1.2,mg/cm2,40,2015-06-27T00:00:00Z,2015-08-05T00:00:00Z,1
LTER,Arctic,Roche_Moutonnee_Creek_Main,mg/cm2,159,2016-07-13T00:00:00Z,2017-09-19T00:00:00Z,0.4
LTER,Arctic,South_River_Main,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Trevor_Creek_Main,mg/cm2,159,2016-07-13T00:00:00Z,2017-09-19T00:00:00Z,0.4
LTER,Arctic,VTK_IMP_Main,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,VTK_REF_Main,mg/cm2,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
