Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Baltimore,BARN,#/mL,1237,2001-10-10T00:00:00Z,2010-10-07T00:00:00Z,0.4
LTER,Baltimore,DRKR,#/mL,451,2001-10-10T00:00:00Z,2008-03-05T00:00:00Z,0.2
LTER,Baltimore,GFCP,#/mL,203,2001-11-01T00:00:00Z,2002-11-13T00:00:00Z,0.5
LTER,Baltimore,GFGB,#/mL,1245,2001-10-03T00:00:00Z,2008-03-26T00:00:00Z,0.5
LTER,Baltimore,GFGL,#/mL,819,2001-10-10T00:00:00Z,2016-06-16T00:00:00Z,0.2
LTER,Baltimore,GFVN,#/mL,544,2001-10-03T00:00:00Z,2010-11-11T00:00:00Z,0.2
LTER,Baltimore,JBHH,#/mL,916,2003-08-20T00:00:00Z,2010-03-05T00:00:00Z,0.4
LTER,Baltimore,JBNW,#/mL,226,2003-08-20T00:00:00Z,2008-03-05T00:00:00Z,0.1
LTER,Baltimore,JBON,#/mL,330,2003-08-20T00:00:00Z,2008-03-05T00:00:00Z,0.2
LTER,Baltimore,MAWI,#/mL,1,2004-04-07T00:00:00Z,2004-04-07T00:00:00Z,Inf
LTER,Baltimore,MCDN,#/mL,962,2001-10-03T00:00:00Z,2008-03-26T00:00:00Z,0.4
LTER,Baltimore,POBR,#/mL,1244,2001-10-03T00:00:00Z,2010-10-07T00:00:00Z,0.4
LTER,Baltimore,RGHT,#/mL,49,2002-03-19T00:00:00Z,2007-11-14T00:00:00Z,0
