Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,HBEF,w1,mg/L,9144,2012-09-11T00:00:00Z,2019-05-29T00:00:00Z,3.7
LTER,HBEF,w2,mg/L,8848,2012-09-11T00:00:00Z,2019-05-29T00:00:00Z,3.6
LTER,HBEF,w3,mg/L,9140,2012-09-11T00:00:00Z,2019-05-29T00:00:00Z,3.7
LTER,HBEF,w4,mg/L,9140,2012-09-11T00:00:00Z,2019-05-29T00:00:00Z,3.7
LTER,HBEF,w5,mg/L,8962,2012-09-11T00:00:00Z,2019-05-29T00:00:00Z,3.7
LTER,HBEF,w6,mg/L,9134,2012-09-11T00:00:00Z,2019-05-29T00:00:00Z,3.7
LTER,HBEF,w7,mg/L,9140,2012-09-11T00:00:00Z,2019-05-29T00:00:00Z,3.7
LTER,HBEF,w8,mg/L,9140,2012-09-11T00:00:00Z,2019-05-29T00:00:00Z,3.7
LTER,HBEF,w9,mg/L,9072,2012-09-11T00:00:00Z,2019-05-29T00:00:00Z,3.7
LTER,McMurdo Dry Valleys,adams_weir,mg/L,56,2010-01-29T00:00:00Z,2014-01-30T00:00:00Z,0
LTER,McMurdo Dry Valleys,aiken_f5,mg/L,938,1995-12-28T00:00:00Z,2014-01-20T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,andrsn_h1,mg/L,880,1995-12-14T00:00:00Z,2014-01-22T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,andrws_mouth,mg/L,51,1995-12-16T00:00:00Z,2008-01-15T00:00:00Z,0
LTER,McMurdo Dry Valleys,bartlt_mouth,mg/L,71,1994-12-30T00:00:00Z,2009-12-17T00:00:00Z,0
LTER,McMurdo Dry Valleys,bohnr_mouth,mg/L,198,1998-12-22T00:00:00Z,2014-01-29T00:00:00Z,0
LTER,McMurdo Dry Valleys,bowles_mouth,mg/L,770,1994-12-14T00:00:00Z,2014-01-24T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,bowles_mouth,mg/L,770,1994-12-14T00:00:00Z,2014-01-24T00:00:00Z,0.1
