Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
NEON,NEON,ARIK,QSU,1279,2016-08-24T00:00:00Z,2020-12-01T00:00:00Z,0.8
NEON,NEON,BIGC,QSU,740,2018-05-26T00:00:00Z,2020-12-01T00:00:00Z,0.8
NEON,NEON,BLDE,QSU,766,2018-09-25T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,BLUE,QSU,497,2018-11-09T00:00:00Z,2020-03-19T00:00:00Z,1
NEON,NEON,BLWA,QSU,192,2018-12-06T00:00:00Z,2020-01-05T00:00:00Z,0.5
NEON,NEON,CARI,QSU,423,2018-06-07T00:00:00Z,2020-10-22T00:00:00Z,0.5
NEON,NEON,COMO,QSU,1166,2017-09-23T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,CUPE,QSU,929,2018-05-18T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,FLNT,QSU,528,2018-05-01T00:00:00Z,2020-12-01T00:00:00Z,0.6
NEON,NEON,GUIL,QSU,804,2018-05-31T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,HOPB,QSU,607,2017-10-06T00:00:00Z,2020-12-01T00:00:00Z,0.5
NEON,NEON,KING,QSU,906,2016-09-18T00:00:00Z,2020-11-14T00:00:00Z,0.6
NEON,NEON,LECO,QSU,1013,2017-04-14T00:00:00Z,2020-12-01T00:00:00Z,0.8
NEON,NEON,LEWI,QSU,1098,2017-10-04T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,MART,QSU,1007,2018-03-01T00:00:00Z,2020-12-01T00:00:00Z,1
NEON,NEON,MAYF,QSU,1245,2016-10-13T00:00:00Z,2020-11-11T00:00:00Z,0.8
NEON,NEON,MCDI,QSU,981,2017-11-16T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,MCRA,QSU,1003,2017-11-22T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,OKSR,QSU,98,2019-06-20T00:00:00Z,2019-09-25T00:00:00Z,1
NEON,NEON,POSE,QSU,1266,2016-11-03T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,PRIN,QSU,1076,2017-09-23T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,REDB,QSU,472,2018-06-30T00:00:00Z,2020-12-01T00:00:00Z,0.5
NEON,NEON,SYCA,QSU,459,2019-02-06T00:00:00Z,2020-11-30T00:00:00Z,0.7
NEON,NEON,TECR,QSU,485,2018-12-05T00:00:00Z,2020-12-01T00:00:00Z,0.7
NEON,NEON,TOMB,QSU,156,2018-12-19T00:00:00Z,2019-11-03T00:00:00Z,0.5
NEON,NEON,WALK,QSU,1381,2016-08-18T00:00:00Z,2020-12-01T00:00:00Z,0.9
NEON,NEON,WLOU,QSU,944,2017-11-02T00:00:00Z,2020-12-01T00:00:00Z,0.8
