Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Niwot,ALBION,mg/L,17772,1982-02-12T00:00:00Z,2018-10-04T00:00:00Z,1.3
LTER,Niwot,ALBION_INLET,mg/L,4878,1985-05-10T00:00:00Z,2004-11-12T00:00:00Z,0.7
LTER,Niwot,FLUME,mg/L,1707,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4
LTER,Niwot,GREEN1,mg/L,3052,1985-06-07T00:00:00Z,2010-10-08T00:00:00Z,0.3
LTER,Niwot,GREEN4,mg/L,13679,1982-03-12T00:00:00Z,2018-10-19T00:00:00Z,1
LTER,Niwot,GREEN5,mg/L,4603,1985-05-31T00:00:00Z,2018-09-26T00:00:00Z,0.4
LTER,Niwot,MARTINELLI,mg/L,7726,1986-05-23T00:00:00Z,2018-08-17T00:00:00Z,0.7
LTER,Niwot,NAVAJO,mg/L,3807,1984-06-29T00:00:00Z,2018-09-21T00:00:00Z,0.3
LTER,Niwot,ROCK_GLACIER,mg/L,1952,1998-07-17T00:00:00Z,2018-09-26T00:00:00Z,0.3
LTER,Niwot,SADDLE,mg/L,4370,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.5
LTER,Niwot,SADDLE_007,mg/L,2192,1994-05-18T00:00:00Z,2018-06-21T00:00:00Z,0.2
LTER,Niwot,SODDIE,mg/L,748,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1
