Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,McMurdo Dry Valleys,aiken_f5,mg/L,804,1995-01-14T00:00:00Z,2014-01-20T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,andrsn_h1,mg/L,567,1995-01-15T00:00:00Z,2014-01-22T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,andrws_mouth,mg/L,46,1995-12-16T00:00:00Z,2008-01-15T00:00:00Z,0
LTER,McMurdo Dry Valleys,bartlt_mouth,mg/L,47,1995-01-18T00:00:00Z,2008-01-11T00:00:00Z,0
LTER,McMurdo Dry Valleys,bohnr_lower,mg/L,12,2000-12-22T00:00:00Z,2002-01-23T00:00:00Z,0
LTER,McMurdo Dry Valleys,bohnr_mouth,mg/L,172,1998-12-22T00:00:00Z,2014-01-16T00:00:00Z,0
LTER,McMurdo Dry Valleys,bowles_mouth,mg/L,590,1996-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,bowles_mouth,mg/L,590,1996-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,canada_f1,mg/L,787,1996-01-18T00:00:00Z,2012-12-20T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,common_c1,mg/L,547,1996-01-12T00:00:00Z,2012-12-22T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,crescent_f8,mg/L,747,1994-12-21T00:00:00Z,2014-01-24T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,delta_f10,mg/L,885,1995-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,green_f9,mg/L,776,1995-01-13T00:00:00Z,2014-01-24T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,harnish_f11,mg/L,4,1996-12-26T00:00:00Z,2009-01-26T00:00:00Z,0
LTER,McMurdo Dry Valleys,harnish_f7,mg/L,511,1995-12-28T00:00:00Z,2014-01-24T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,house_h2,mg/L,244,1996-01-21T00:00:00Z,2014-01-22T00:00:00Z,0
LTER,McMurdo Dry Valleys,huey_f2,mg/L,249,1996-01-12T00:00:00Z,2014-01-23T00:00:00Z,0
LTER,McMurdo Dry Valleys,lawson_b3,mg/L,347,1996-11-22T00:00:00Z,2013-01-14T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,lostseal_f3,mg/L,1187,1994-12-20T00:00:00Z,2014-01-20T00:00:00Z,0.2
LTER,McMurdo Dry Valleys,lyons_b4,mg/L,226,1995-12-10T00:00:00Z,2012-12-15T00:00:00Z,0
LTER,McMurdo Dry Valleys,lyons_trib,mg/L,2,2010-12-27T00:00:00Z,2012-01-14T00:00:00Z,0
LTER,McMurdo Dry Valleys,mariah_mouth,mg/L,131,1996-01-13T00:00:00Z,2013-01-15T00:00:00Z,0
LTER,McMurdo Dry Valleys,mason_mouth,mg/L,53,1995-12-11T00:00:00Z,2007-12-29T00:00:00Z,0
LTER,McMurdo Dry Valleys,mckay_mouth,mg/L,129,1996-01-21T00:00:00Z,2010-12-26T00:00:00Z,0
LTER,McMurdo Dry Valleys,mcknight_mouth,mg/L,332,1995-12-17T00:00:00Z,2014-01-20T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,onyx_lwright,mg/L,504,1996-01-23T00:00:00Z,2011-01-28T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,onyx_vnda,mg/L,549,1994-12-30T00:00:00Z,2013-12-10T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,priscu_b1,mg/L,448,1994-12-15T00:00:00Z,2013-01-14T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,red_bfalls,mg/L,394,1994-12-15T00:00:00Z,2013-12-16T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,santafe_b2,mg/L,390,1994-11-30T00:00:00Z,2012-12-15T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,sharp_mouth,mg/L,94,1994-12-17T00:00:00Z,2013-01-14T00:00:00Z,0
LTER,McMurdo Dry Valleys,vguerard_f6,mg/L,747,1995-01-14T00:00:00Z,2014-01-24T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,vguerard_upper,mg/L,152,2000-12-23T00:00:00Z,2008-01-30T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,vincent_mouth,mg/L,36,1995-12-28T00:00:00Z,2008-01-11T00:00:00Z,0
LTER,McMurdo Dry Valleys,wharton_mouth,mg/L,171,1996-01-11T00:00:00Z,2012-12-15T00:00:00Z,0
