Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Kuparuk_River_-0.47,%,1,2015-07-18T00:00:00Z,2015-07-18T00:00:00Z,Inf
LTER,Arctic,Kuparuk_River_0.3,%,1,2015-07-18T00:00:00Z,2015-07-18T00:00:00Z,Inf
LTER,Arctic,Kuparuk_River_0.56,%,1,2015-07-18T00:00:00Z,2015-07-18T00:00:00Z,Inf
LTER,Arctic,Kuparuk_River_1,%,2,2014-08-08T00:00:00Z,2015-07-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_1.39,%,1,2014-08-08T00:00:00Z,2014-08-08T00:00:00Z,Inf
LTER,Arctic,Kuparuk_River_2,%,3,2007-07-31T00:00:00Z,2015-07-22T00:00:00Z,0
LTER,Arctic,Kuparuk_River_2.5,%,2,2014-08-08T00:00:00Z,2015-07-21T00:00:00Z,0
LTER,Arctic,Kuparuk_River_3,%,1,2015-07-21T00:00:00Z,2015-07-21T00:00:00Z,Inf
LTER,Arctic,Kuparuk_River_4,%,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z,Inf
LTER,Arctic,Kuparuk_River_4.1,%,1,2015-07-19T00:00:00Z,2015-07-19T00:00:00Z,Inf
