Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Kuparuk_River_-0.1,%,2,2000-06-30T00:00:00Z,2000-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.177,%,2,2014-08-08T00:00:00Z,2015-07-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.3,%,58,1998-06-13T00:00:00Z,2015-07-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.47,%,2,2014-08-08T00:00:00Z,2015-07-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0,%,1,1999-06-27T00:00:00Z,1999-06-27T00:00:00Z,Inf
LTER,Arctic,Kuparuk_River_0.3,%,2,2014-08-08T00:00:00Z,2015-07-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0.56,%,3,2007-07-31T00:00:00Z,2015-07-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0.74,%,4,1996-06-26T00:00:00Z,1997-08-13T00:00:00Z,0
LTER,Arctic,Kuparuk_River_1,%,92,1996-06-12T00:00:00Z,2015-07-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_1.39,%,2,1996-08-14T00:00:00Z,2014-08-08T00:00:00Z,0
LTER,Arctic,Kuparuk_River_2,%,41,1995-07-07T00:00:00Z,2015-07-22T00:00:00Z,0
LTER,Arctic,Kuparuk_River_2.5,%,57,1998-06-13T00:00:00Z,2014-08-08T00:00:00Z,0
LTER,Arctic,Kuparuk_River_3,%,67,1996-06-12T00:00:00Z,2015-07-21T00:00:00Z,0
LTER,Arctic,Kuparuk_River_4,%,1,2007-07-31T00:00:00Z,2007-07-31T00:00:00Z,Inf
LTER,Arctic,Kuparuk_River_4.1,%,1,2015-07-19T00:00:00Z,2015-07-19T00:00:00Z,Inf
