Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,McMurdo Dry Valleys,adams_weir,mg/L,96,2011-11-28T00:00:00Z,2014-01-30T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,aiken_f5,mg/L,616,1993-12-23T00:00:00Z,2014-01-05T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,andrsn_h1,mg/L,805,1993-12-01T00:00:00Z,2014-01-22T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,andrws_mouth,mg/L,31,1995-12-16T00:00:00Z,1998-01-12T00:00:00Z,0
LTER,McMurdo Dry Valleys,bartlt_mouth,mg/L,13,1994-01-05T00:00:00Z,2003-01-25T00:00:00Z,0
LTER,McMurdo Dry Valleys,bohner_b5,mg/L,40,2012-12-06T00:00:00Z,2013-01-14T00:00:00Z,1
LTER,McMurdo Dry Valleys,bohnr_mouth,mg/L,123,2002-12-30T00:00:00Z,2014-01-16T00:00:00Z,0
LTER,McMurdo Dry Valleys,bowles_mouth,mg/L,238,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0
LTER,McMurdo Dry Valleys,bowles_mouth,mg/L,238,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0
LTER,McMurdo Dry Valleys,canada_f1,mg/L,304,1993-12-03T00:00:00Z,2014-01-23T00:00:00Z,0
LTER,McMurdo Dry Valleys,common_c1,mg/L,547,1993-12-03T00:00:00Z,2014-01-28T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,crescent_f8,mg/L,429,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,delta_f10,mg/L,360,1994-01-26T00:00:00Z,2014-01-24T00:00:00Z,0
LTER,McMurdo Dry Valleys,green_f9,mg/L,589,1993-12-17T00:00:00Z,2014-01-24T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,harnish_f11,mg/L,2,1996-12-26T00:00:00Z,2013-01-20T00:00:00Z,0
LTER,McMurdo Dry Valleys,harnish_f7,mg/L,271,1995-12-28T00:00:00Z,2014-01-24T00:00:00Z,0
LTER,McMurdo Dry Valleys,house_h2,mg/L,232,1993-12-02T00:00:00Z,2014-01-22T00:00:00Z,0
LTER,McMurdo Dry Valleys,huey_f2,mg/L,187,1993-12-24T00:00:00Z,2014-01-23T00:00:00Z,0
LTER,McMurdo Dry Valleys,lawson_b3,mg/L,438,1993-12-03T00:00:00Z,2014-01-29T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,lostseal_f3,mg/L,622,1993-12-15T00:00:00Z,2014-01-20T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,lyons_b4,mg/L,267,1993-12-03T00:00:00Z,2014-01-29T00:00:00Z,0
LTER,McMurdo Dry Valleys,lyons_trib,mg/L,9,2012-01-07T00:00:00Z,2014-01-29T00:00:00Z,0
LTER,McMurdo Dry Valleys,mariah_mouth,mg/L,164,1993-12-30T00:00:00Z,2014-01-24T00:00:00Z,0
LTER,McMurdo Dry Valleys,mason_mouth,mg/L,4,1995-12-11T00:00:00Z,2008-01-04T00:00:00Z,0
LTER,McMurdo Dry Valleys,mckay_mouth,mg/L,111,1994-01-11T00:00:00Z,2013-01-11T00:00:00Z,0
LTER,McMurdo Dry Valleys,mcknight_mouth,mg/L,281,1993-12-23T00:00:00Z,2014-01-20T00:00:00Z,0
LTER,McMurdo Dry Valleys,onyx_lwright,mg/L,310,1996-01-09T00:00:00Z,2014-01-28T00:00:00Z,0
LTER,McMurdo Dry Valleys,onyx_vnda,mg/L,356,1996-01-09T00:00:00Z,2014-01-07T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,priscu_b1,mg/L,212,1993-12-15T00:00:00Z,2014-01-06T00:00:00Z,0
LTER,McMurdo Dry Valleys,red_bfalls,mg/L,219,1993-12-03T00:00:00Z,2014-01-06T00:00:00Z,0
LTER,McMurdo Dry Valleys,santafe_b2,mg/L,551,1993-12-03T00:00:00Z,2014-01-29T00:00:00Z,0.1
LTER,McMurdo Dry Valleys,sharp_mouth,mg/L,94,1994-01-05T00:00:00Z,2014-01-29T00:00:00Z,0
LTER,McMurdo Dry Valleys,vguerard_f6,mg/L,344,1994-01-02T00:00:00Z,2014-01-24T00:00:00Z,0
LTER,McMurdo Dry Valleys,vguerard_upper,mg/L,27,1995-12-28T00:00:00Z,2005-01-22T00:00:00Z,0
LTER,McMurdo Dry Valleys,vincent_mouth,mg/L,22,1995-12-28T00:00:00Z,2003-01-25T00:00:00Z,0
LTER,McMurdo Dry Valleys,wharton_mouth,mg/L,152,1994-01-11T00:00:00Z,2013-01-11T00:00:00Z,0
LTER,Plum Island Ecosystem,cart_creek,mg/L,552,2001-06-12T00:00:00Z,2002-08-14T00:00:00Z,1.3
LTER,Plum Island Ecosystem,fish_brook,mg/L,266,2001-06-22T00:00:00Z,2002-08-01T00:00:00Z,0.7
LTER,Plum Island Ecosystem,saw_mill_brook,mg/L,546,2001-06-22T00:00:00Z,2002-08-01T00:00:00Z,1.3
LTER,Plum Island Ecosystem,upper_ipswich,mg/L,483,2001-06-27T00:00:00Z,2002-08-01T00:00:00Z,1.2
