Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Bonanza Creek,C2,mg/L,6210,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,1.1
LTER,Bonanza Creek,C3,mg/L,6210,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,1.1
LTER,Bonanza Creek,C4,mg/L,6210,1993-09-22T00:00:00Z,2009-03-31T00:00:00Z,1.1
NEON,NEON,ARIK,mg/L,273,2019-04-09T00:00:00Z,2020-03-11T00:00:00Z,0.8
NEON,NEON,BLUE,mg/L,329,2019-04-17T00:00:00Z,2020-03-10T00:00:00Z,1
NEON,NEON,CUPE,mg/L,258,2019-04-10T00:00:00Z,2020-09-11T00:00:00Z,0.5
NEON,NEON,GUIL,mg/L,296,2019-04-18T00:00:00Z,2020-08-21T00:00:00Z,0.6
NEON,NEON,PRIN,mg/L,232,2019-04-16T00:00:00Z,2020-03-04T00:00:00Z,0.7
NEON,NEON,REDB,mg/L,9,2019-04-18T00:00:00Z,2019-04-26T00:00:00Z,1.1
NEON,NEON,SYCA,mg/L,134,2019-05-22T00:00:00Z,2020-03-04T00:00:00Z,0.5
