Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Dimple_Inlet_Main,mg/L,154,2008-05-25T00:00:00Z,2010-08-18T00:00:00Z,0.2
LTER,Arctic,Dimple_Outlet_Main,mg/L,172,2008-05-27T00:00:00Z,2010-08-19T00:00:00Z,0.2
LTER,Arctic,I-Minus_2_IMP,mg/L,183,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_REF,mg/L,184,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_High,mg/L,98,2010-07-18T00:00:00Z,2015-06-18T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_Low,mg/L,125,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_A,mg/L,107,2010-07-08T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_AA,mg/L,78,2010-07-08T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_B,mg/L,161,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_C,mg/L,128,2010-07-08T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_D,mg/L,131,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_E,mg/L,77,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.1,mg/L,1038,1983-07-25T00:00:00Z,2017-10-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.177,mg/L,2372,1990-06-10T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.3,mg/L,2196,1978-05-24T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.47,mg/L,210,2010-07-15T00:00:00Z,2013-06-18T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.7,mg/L,142,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_0,mg/L,149,1983-07-10T00:00:00Z,2013-06-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0.3,mg/L,1199,1983-07-10T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,mg/L,2618,1983-07-25T00:00:00Z,2015-08-08T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_0.74,mg/L,3043,1985-07-16T00:00:00Z,2017-10-11T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_1,mg/L,2826,1983-07-25T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1.39,mg/L,2145,1983-07-16T00:00:00Z,2017-06-16T00:00:00Z,0.2
