Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Baltimore,BARN,mg/L,14014,1998-12-05T00:00:00Z,2019-05-25T00:00:00Z,1.9
LTER,Baltimore,DRKR,mg/L,6456,1998-11-25T00:00:00Z,2017-03-09T00:00:00Z,1
LTER,Baltimore,GF5,mg/L,520,1999-04-06T00:00:00Z,2000-09-06T00:00:00Z,1
LTER,Baltimore,GFCP,mg/L,3080,1998-10-16T00:00:00Z,2019-06-08T00:00:00Z,0.4
LTER,Baltimore,GFGB,mg/L,14252,1998-10-16T00:00:00Z,2019-06-08T00:00:00Z,1.9
LTER,Baltimore,GFGL,mg/L,13798,1998-10-16T00:00:00Z,2019-03-12T00:00:00Z,1.9
LTER,Baltimore,GFVN,mg/L,9372,1998-10-16T00:00:00Z,2019-06-08T00:00:00Z,1.2
LTER,Baltimore,HH,mg/L,508,1999-04-06T00:00:00Z,2000-08-25T00:00:00Z,1
LTER,Baltimore,HLB,mg/L,443,1999-06-24T00:00:00Z,2000-09-08T00:00:00Z,1
LTER,Baltimore,JBHH,mg/L,3504,2003-08-20T00:00:00Z,2010-05-12T00:00:00Z,1.4
LTER,Baltimore,JBNW,mg/L,1326,2003-08-20T00:00:00Z,2010-06-09T00:00:00Z,0.5
LTER,Baltimore,JBON,mg/L,1432,2003-08-20T00:00:00Z,2010-05-12T00:00:00Z,0.6
LTER,Baltimore,MAWI,mg/L,37,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0
LTER,Baltimore,MCDN,mg/L,11150,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,1.7
LTER,Baltimore,POBR,mg/L,14463,1998-10-16T00:00:00Z,2019-05-25T00:00:00Z,1.9
LTER,Baltimore,RGHT,mg/L,1527,1999-02-26T00:00:00Z,2017-01-13T00:00:00Z,0.2
LTER,Baltimore,RR1,mg/L,508,1999-04-06T00:00:00Z,2000-08-25T00:00:00Z,1
LTER,Baltimore,RR2,mg/L,508,1999-04-06T00:00:00Z,2000-08-25T00:00:00Z,1
LTER,Baltimore,SL1,mg/L,522,1999-04-06T00:00:00Z,2000-09-08T00:00:00Z,1
LTER,Baltimore,SL2,mg/L,522,1999-04-06T00:00:00Z,2000-09-08T00:00:00Z,1
LTER,HBEF,w1,mg/L,67263,1971-06-29T00:00:00Z,2019-05-29T00:00:00Z,3.8
LTER,HBEF,w2,mg/L,66381,1971-06-29T00:00:00Z,2019-05-29T00:00:00Z,3.8
LTER,HBEF,w3,mg/L,68163,1971-06-29T00:00:00Z,2019-05-29T00:00:00Z,3.9
LTER,HBEF,w4,mg/L,68439,1971-06-29T00:00:00Z,2019-05-29T00:00:00Z,3.9
LTER,HBEF,w5,mg/L,67787,1971-06-29T00:00:00Z,2019-05-29T00:00:00Z,3.9
LTER,HBEF,w6,mg/L,68345,1971-06-29T00:00:00Z,2019-05-29T00:00:00Z,3.9
LTER,HBEF,w7,mg/L,52123,1971-06-29T00:00:00Z,2019-05-29T00:00:00Z,3
LTER,HBEF,w8,mg/L,51957,1971-06-29T00:00:00Z,2019-05-29T00:00:00Z,3
LTER,HBEF,w9,mg/L,51559,1971-06-29T00:00:00Z,2019-05-29T00:00:00Z,2.9
LTER,H. J. Andrews,GSLOOK,mg/L,34248,1968-10-21T00:00:00Z,2019-05-21T00:00:00Z,1.9
LTER,H. J. Andrews,GSMACK,mg/L,70562,1968-10-21T00:00:00Z,2019-05-22T00:00:00Z,3.8
LTER,H. J. Andrews,GSMACK,mg/L,70562,1968-10-21T00:00:00Z,2019-05-22T00:00:00Z,3.8
LTER,H. J. Andrews,GSWS01,mg/L,35434,1968-10-21T00:00:00Z,2019-05-21T00:00:00Z,1.9
LTER,H. J. Andrews,GSWS02,mg/L,46744,1968-10-21T00:00:00Z,2019-05-21T00:00:00Z,2.5
LTER,H. J. Andrews,GSWS03,mg/L,24124,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z,1.4
LTER,H. J. Andrews,GSWS06,mg/L,33657,1968-10-21T00:00:00Z,2019-05-22T00:00:00Z,1.8
LTER,H. J. Andrews,GSWS07,mg/L,33861,1968-10-21T00:00:00Z,2019-05-22T00:00:00Z,1.8
LTER,H. J. Andrews,GSWS08,mg/L,38658,1968-10-21T00:00:00Z,2019-05-22T00:00:00Z,2.1
