Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Niwot,ALBION_INLET,mg/L,646,2002-05-11T00:00:00Z,2004-05-28T00:00:00Z,0.9
LTER,Niwot,GREEN1,mg/L,257,2002-05-18T00:00:00Z,2003-10-31T00:00:00Z,0.5
LTER,Niwot,GREEN4,mg/L,647,2002-01-23T00:00:00Z,2004-05-28T00:00:00Z,0.8
LTER,Niwot,GREEN5,mg/L,247,2002-05-31T00:00:00Z,2004-05-28T00:00:00Z,0.3
LTER,Niwot,MARTINELLI,mg/L,197,2002-05-31T00:00:00Z,2004-05-21T00:00:00Z,0.3
LTER,Niwot,NAVAJO,mg/L,107,2002-05-31T00:00:00Z,2003-08-08T00:00:00Z,0.2
LTER,Niwot,ROCK_GLACIER,mg/L,86,2002-06-28T00:00:00Z,2003-10-10T00:00:00Z,0.2
LTER,Niwot,SADDLE,mg/L,198,2002-05-07T00:00:00Z,2004-05-21T00:00:00Z,0.3
LTER,Niwot,SADDLE_007,mg/L,50,2003-05-28T00:00:00Z,2004-05-28T00:00:00Z,0.1
LTER,Niwot,SODDIE,mg/L,2,2003-06-04T00:00:00Z,2004-05-26T00:00:00Z,0
LTER,Plum Island Ecosystem,bear_meadow,mg/L,2319,2006-12-22T00:00:00Z,2017-12-04T00:00:00Z,0.6
LTER,Plum Island Ecosystem,cart_creek,mg/L,2958,2006-12-22T00:00:00Z,2017-12-03T00:00:00Z,0.7
LTER,Plum Island Ecosystem,egypt_river,mg/L,3660,1999-02-25T00:00:00Z,2017-12-09T00:00:00Z,0.5
LTER,Plum Island Ecosystem,ipswich_dam,mg/L,5259,1993-09-21T00:00:00Z,2017-12-09T00:00:00Z,0.6
LTER,Plum Island Ecosystem,little_river,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf
LTER,Plum Island Ecosystem,mill_river,mg/L,1,1999-02-25T00:00:00Z,1999-02-25T00:00:00Z,Inf
LTER,Plum Island Ecosystem,parker_dam,mg/L,5352,1993-06-19T00:00:00Z,2017-12-09T00:00:00Z,0.6
LTER,Plum Island Ecosystem,saw_mill_brook,mg/L,3118,2006-12-22T00:00:00Z,2017-12-04T00:00:00Z,0.8
