Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Dimple_Inlet_Main,mg/L,92,2008-05-25T00:00:00Z,2010-08-03T00:00:00Z,0.1
LTER,Arctic,Dimple_Outlet_Main,mg/L,84,2008-05-27T00:00:00Z,2009-07-19T00:00:00Z,0.2
LTER,Arctic,I-Minus_2_IMP,mg/L,283,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_REF,mg/L,283,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_High,mg/L,218,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_Low,mg/L,268,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_A,mg/L,177,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_AA,mg/L,177,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_B,mg/L,177,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_C,mg/L,177,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_D,mg/L,177,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_E,mg/L,177,2007-06-24T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.1,mg/L,1065,1983-07-10T00:00:00Z,2017-10-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.177,mg/L,2426,1990-06-10T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.3,mg/L,1896,1998-06-23T00:00:00Z,2017-08-27T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_-0.47,mg/L,210,2010-07-15T00:00:00Z,2013-06-18T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.7,mg/L,142,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_0,mg/L,149,1983-07-10T00:00:00Z,2013-06-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0.3,mg/L,1129,1983-07-10T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,mg/L,2588,1983-07-25T00:00:00Z,2015-08-08T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_0.74,mg/L,3043,1985-07-16T00:00:00Z,2017-10-11T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_1,mg/L,2826,1983-07-25T00:00:00Z,2016-08-06T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1.39,mg/L,2154,1983-07-10T00:00:00Z,2017-06-16T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1.5,mg/L,620,1983-07-25T00:00:00Z,2014-09-28T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.8,mg/L,2595,1983-07-10T00:00:00Z,2017-09-08T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_2,mg/L,3228,1984-06-27T00:00:00Z,2017-08-27T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_2.5,mg/L,1814,1989-06-11T00:00:00Z,2017-09-08T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_3,mg/L,2577,1983-07-10T00:00:00Z,2017-08-27T00:00:00Z,0.2
