Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Dimple_Inlet_Main,NA,67,2008-05-25T00:00:00Z,2008-07-30T00:00:00Z,1
LTER,Arctic,Dimple_Outlet_Main,NA,65,2008-05-27T00:00:00Z,2008-07-30T00:00:00Z,1
LTER,Arctic,South_River_Main,NA,76,2008-05-27T00:00:00Z,2008-08-10T00:00:00Z,1
LTER,Bonanza Creek,C2,NA,2802,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.5
LTER,Bonanza Creek,C3,NA,2714,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.5
LTER,Bonanza Creek,C4,NA,2684,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.5
LTER,Bonanza Creek,CB,NA,1400,2002-05-21T00:00:00Z,2018-06-19T00:00:00Z,0.2
LTER,Bonanza Creek,CJ,NA,1704,2002-05-21T00:00:00Z,2018-08-28T00:00:00Z,0.3
LTER,Bonanza Creek,P6,NA,1274,2002-05-21T00:00:00Z,2018-08-14T00:00:00Z,0.2
LTER,Bonanza Creek,PC,NA,1647,2002-05-28T00:00:00Z,2018-08-28T00:00:00Z,0.3
LTER,Bonanza Creek,PJ,NA,1781,2002-05-21T00:00:00Z,2018-08-28T00:00:00Z,0.3
LTER,HBEF,w1,NA,68375,1970-06-03T00:00:00Z,2019-05-29T00:00:00Z,3.8
LTER,HBEF,w2,NA,71727,1964-04-07T00:00:00Z,2019-05-29T00:00:00Z,3.6
LTER,HBEF,w3,NA,68231,1963-06-02T00:00:00Z,2019-05-29T00:00:00Z,3.3
LTER,HBEF,w4,NA,73193,1965-06-08T00:00:00Z,2019-05-29T00:00:00Z,3.7
LTER,HBEF,w5,NA,67867,1971-06-08T00:00:00Z,2019-05-29T00:00:00Z,3.9
LTER,HBEF,w6,NA,73913,1964-03-17T00:00:00Z,2019-05-29T00:00:00Z,3.7
LTER,HBEF,w7,NA,51543,1971-06-29T00:00:00Z,2019-05-29T00:00:00Z,2.9
LTER,HBEF,w8,NA,51467,1971-06-29T00:00:00Z,2019-05-29T00:00:00Z,2.9
LTER,HBEF,w9,NA,51397,1971-06-29T00:00:00Z,2019-05-29T00:00:00Z,2.9
