Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,I-Minus_2_IMP,mg/l,24,2013-07-04T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_REF,mg/l,24,2013-07-04T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_High,mg/l,23,2013-07-04T00:00:00Z,2015-06-18T00:00:00Z,0
LTER,Arctic,I-Minus_2_TK_Low,mg/l,24,2013-07-04T00:00:00Z,2015-07-28T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_A,mg/l,49,2013-06-26T00:00:00Z,2015-08-04T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_AA,mg/l,49,2013-06-26T00:00:00Z,2015-08-04T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_B,mg/l,49,2013-06-26T00:00:00Z,2015-08-04T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_C,mg/l,49,2013-06-26T00:00:00Z,2015-08-04T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_D,mg/l,49,2013-06-26T00:00:00Z,2015-08-04T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_E,mg/l,49,2013-06-26T00:00:00Z,2015-08-04T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.1,mg/l,287,1984-06-28T00:00:00Z,2006-08-05T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.177,mg/l,899,1985-06-29T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.3,mg/l,747,1984-08-05T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.47,mg/l,129,1983-07-23T00:00:00Z,2013-06-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.7,mg/l,14,1983-08-02T00:00:00Z,1983-08-15T00:00:00Z,1.1
LTER,Arctic,Kuparuk_River_0,mg/l,124,1984-06-28T00:00:00Z,2013-06-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0.3,mg/l,731,1983-08-02T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,mg/l,1156,1985-06-29T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.74,mg/l,1176,1985-06-29T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1,mg/l,1140,1983-07-23T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.39,mg/l,854,1992-06-24T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.5,mg/l,108,1984-07-01T00:00:00Z,1998-06-23T00:00:00Z,0
LTER,Arctic,Kuparuk_River_1.8,mg/l,962,1985-06-29T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2,mg/l,1241,1984-06-28T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_2.5,mg/l,606,1984-06-28T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_3,mg/l,982,1984-06-28T00:00:00Z,2015-08-08T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4,mg/l,839,1985-07-09T00:00:00Z,2011-08-10T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_4.1,mg/l,199,2012-06-21T00:00:00Z,2015-08-08T00:00:00Z,0.2
LTER,Arctic,North_River_Main,mg/l,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.1,mg/l,1052,1991-06-15T00:00:00Z,2015-08-05T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.3,mg/l,1052,1991-06-15T00:00:00Z,2015-08-05T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-0.7,mg/l,964,1991-06-15T00:00:00Z,2015-08-05T00:00:00Z,0.1
LTER,Arctic,Oksrukuyik_Creek_-1.2,mg/l,40,2015-06-27T00:00:00Z,2015-08-05T00:00:00Z,1
LTER,Arctic,Oksrukuyik_Creek_0.23,mg/l,419,1991-06-15T00:00:00Z,1998-08-07T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_0.48,mg/l,336,1991-06-15T00:00:00Z,1997-06-19T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_1.06,mg/l,419,1991-06-15T00:00:00Z,1998-08-07T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_1.37,mg/l,336,1991-06-15T00:00:00Z,1997-06-19T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_1.7,mg/l,419,1991-06-15T00:00:00Z,1998-08-07T00:00:00Z,0.2
LTER,Arctic,Oksrukuyik_Creek_2.5,mg/l,368,1991-06-15T00:00:00Z,1998-08-07T00:00:00Z,0.1
LTER,Arctic,South_River_Main,mg/l,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,Toolik_River_IMP,mg/l,55,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,Toolik_River_REF,mg/l,85,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,Toolik_River_TK_Above,mg/l,31,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_TK_Low,mg/l,28,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0
LTER,Arctic,Toolik_River_TK_Mid,mg/l,55,2013-06-26T00:00:00Z,2015-08-09T00:00:00Z,0.1
LTER,Arctic,VTK_IMP_Main,mg/l,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
LTER,Arctic,VTK_REF_Main,mg/l,67,2012-07-31T00:00:00Z,2015-07-14T00:00:00Z,0.1
