Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Arctic,Dimple_Inlet_Main,mg/L,118,2008-05-25T00:00:00Z,2010-06-22T00:00:00Z,0.2
LTER,Arctic,Dimple_Outlet_Main,mg/L,138,2008-05-27T00:00:00Z,2010-08-19T00:00:00Z,0.2
LTER,Arctic,I-Minus_2_IMP,mg/L,283,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_REF,mg/L,283,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_High,mg/L,218,2007-08-08T00:00:00Z,2015-06-18T00:00:00Z,0.1
LTER,Arctic,I-Minus_2_TK_Low,mg/L,268,2007-07-26T00:00:00Z,2015-07-28T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_A,mg/L,136,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_AA,mg/L,135,2009-07-04T00:00:00Z,2016-07-31T00:00:00Z,0.1
LTER,Arctic,Imnavait_Creek_B,mg/L,137,2004-07-18T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_C,mg/L,108,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_D,mg/L,136,2006-07-02T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Imnavait_Creek_E,mg/L,137,2004-07-18T00:00:00Z,2016-07-31T00:00:00Z,0
LTER,Arctic,Kuparuk_River_-0.1,mg/L,340,2016-06-18T00:00:00Z,2017-10-06T00:00:00Z,0.7
LTER,Arctic,Kuparuk_River_-0.177,mg/L,1626,1994-07-16T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.3,mg/L,1608,1998-06-23T00:00:00Z,2017-08-27T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_-0.47,mg/L,114,2010-07-15T00:00:00Z,2013-06-18T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_-0.7,mg/L,142,2016-07-25T00:00:00Z,2017-09-08T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_0,mg/L,112,1998-06-23T00:00:00Z,2013-06-18T00:00:00Z,0
LTER,Arctic,Kuparuk_River_0.3,mg/L,586,1994-07-16T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_0.56,mg/L,1934,1994-06-25T00:00:00Z,2015-08-08T00:00:00Z,0.3
LTER,Arctic,Kuparuk_River_0.74,mg/L,1254,1996-06-22T00:00:00Z,2017-10-11T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1,mg/L,1092,1996-06-22T00:00:00Z,2016-08-06T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.39,mg/L,1431,1997-06-21T00:00:00Z,2017-06-16T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_1.5,mg/L,350,1996-06-22T00:00:00Z,2014-09-28T00:00:00Z,0.1
LTER,Arctic,Kuparuk_River_1.8,mg/L,1434,1996-06-22T00:00:00Z,2017-09-08T00:00:00Z,0.2
LTER,Arctic,Kuparuk_River_2,mg/L,1584,1996-06-22T00:00:00Z,2017-08-27T00:00:00Z,0.2
