Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Niwot,ALBION,mg/L,13382,1994-01-12T00:00:00Z,2018-10-04T00:00:00Z,1.5
LTER,Niwot,ALBION_INLET,mg/L,2492,1994-05-27T00:00:00Z,2004-11-12T00:00:00Z,0.7
LTER,Niwot,FLUME,mg/L,1652,2005-06-17T00:00:00Z,2017-04-12T00:00:00Z,0.4
LTER,Niwot,GREEN1,mg/L,1930,1994-05-20T00:00:00Z,2010-10-08T00:00:00Z,0.3
LTER,Niwot,GREEN4,mg/L,9585,1994-02-05T00:00:00Z,2018-10-19T00:00:00Z,1.1
LTER,Niwot,GREEN5,mg/L,3386,1994-05-20T00:00:00Z,2018-09-26T00:00:00Z,0.4
LTER,Niwot,MARTINELLI,mg/L,5844,1994-05-07T00:00:00Z,2018-08-17T00:00:00Z,0.7
LTER,Niwot,NAVAJO,mg/L,2644,1994-05-27T00:00:00Z,2018-09-21T00:00:00Z,0.3
LTER,Niwot,ROCK_GLACIER,mg/L,1952,1998-07-17T00:00:00Z,2018-09-26T00:00:00Z,0.3
LTER,Niwot,SADDLE,mg/L,4136,1994-05-27T00:00:00Z,2018-07-25T00:00:00Z,0.5
LTER,Niwot,SADDLE_007,mg/L,1926,1995-06-28T00:00:00Z,2018-06-21T00:00:00Z,0.2
LTER,Niwot,SODDIE,mg/L,417,1999-06-05T00:00:00Z,2013-10-16T00:00:00Z,0.1
