Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Niwot,ALBION,mg/L,3430,1997-07-18T00:00:00Z,2018-10-04T00:00:00Z,0.4
LTER,Niwot,ALBION_INLET,mg/L,2,1999-09-08T00:00:00Z,1999-09-08T00:00:00Z,Inf
LTER,Niwot,FLUME,mg/L,915,2005-06-24T00:00:00Z,2017-04-12T00:00:00Z,0.2
LTER,Niwot,GREEN1,mg/L,138,2005-07-15T00:00:00Z,2010-09-25T00:00:00Z,0.1
LTER,Niwot,GREEN4,mg/L,3900,1998-03-25T00:00:00Z,2018-10-19T00:00:00Z,0.5
LTER,Niwot,GREEN5,mg/L,1281,2003-09-12T00:00:00Z,2018-09-26T00:00:00Z,0.2
LTER,Niwot,MARTINELLI,mg/L,1761,1997-05-30T00:00:00Z,2018-08-17T00:00:00Z,0.2
LTER,Niwot,NAVAJO,mg/L,1459,1998-05-22T00:00:00Z,2018-09-21T00:00:00Z,0.2
LTER,Niwot,ROCK_GLACIER,mg/L,1223,1998-08-14T00:00:00Z,2018-09-26T00:00:00Z,0.2
LTER,Niwot,SADDLE,mg/L,1679,1999-04-21T00:00:00Z,2018-07-25T00:00:00Z,0.2
LTER,Niwot,SADDLE_007,mg/L,1072,1997-06-19T00:00:00Z,2018-06-21T00:00:00Z,0.1
LTER,Niwot,SODDIE,mg/L,338,2005-05-25T00:00:00Z,2013-10-16T00:00:00Z,0.1
