Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,H. J. Andrews,GSLOOK,mg/L,18832,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z,1.4
LTER,H. J. Andrews,GSMACK,mg/L,54720,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z,4.1
LTER,H. J. Andrews,GSMACK,mg/L,54720,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z,4.1
LTER,H. J. Andrews,GSWS01,mg/L,20140,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z,1.5
LTER,H. J. Andrews,GSWS02,mg/L,35962,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z,2.7
LTER,H. J. Andrews,GSWS03,mg/L,18832,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z,1.4
LTER,H. J. Andrews,GSWS06,mg/L,25193,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z,1.9
LTER,H. J. Andrews,GSWS07,mg/L,25556,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z,1.9
LTER,H. J. Andrews,GSWS08,mg/L,30735,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z,2.3
LTER,H. J. Andrews,GSWS09,mg/L,31882,1968-10-09T00:00:00Z,2005-05-10T00:00:00Z,2.4
LTER,H. J. Andrews,GSWS10,mg/L,32081,1968-10-09T00:00:00Z,2005-05-10T00:00:00Z,2.4
LTER,H. J. Andrews,GSWSMA,mg/L,18832,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z,1.4
LTER,H. J. Andrews,GSWSMC,mg/L,18832,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z,1.4
LTER,H. J. Andrews,GSWSMF,mg/L,18832,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z,1.4
