Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Baltimore,BARN,mg/L,13408,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1.9
LTER,Baltimore,DRKR,mg/L,5812,1999-11-16T00:00:00Z,2017-03-09T00:00:00Z,0.9
LTER,Baltimore,GF5,mg/L,293,1999-11-19T00:00:00Z,2000-09-06T00:00:00Z,1
LTER,Baltimore,GFCP,mg/L,2396,1998-11-20T00:00:00Z,2019-01-11T00:00:00Z,0.3
LTER,Baltimore,GFGB,mg/L,13186,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1.9
LTER,Baltimore,GFGL,mg/L,12872,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1.8
LTER,Baltimore,GFVN,mg/L,8304,1999-11-16T00:00:00Z,2019-01-15T00:00:00Z,1.2
LTER,Baltimore,HH,mg/L,289,1999-11-19T00:00:00Z,2000-09-02T00:00:00Z,1
LTER,Baltimore,HLB,mg/L,295,1999-11-19T00:00:00Z,2000-09-08T00:00:00Z,1
LTER,Baltimore,JBHH,mg/L,3780,2003-08-20T00:00:00Z,2010-05-12T00:00:00Z,1.5
LTER,Baltimore,JBNW,mg/L,1403,2003-08-20T00:00:00Z,2010-06-09T00:00:00Z,0.6
LTER,Baltimore,JBON,mg/L,1543,2003-08-20T00:00:00Z,2010-05-12T00:00:00Z,0.6
LTER,Baltimore,MAWI,mg/L,37,2004-04-07T00:00:00Z,2013-04-04T00:00:00Z,0
LTER,Baltimore,MCDN,mg/L,11246,1999-12-10T00:00:00Z,2018-05-04T00:00:00Z,1.7
LTER,Baltimore,POBR,mg/L,13847,1998-11-20T00:00:00Z,2019-01-15T00:00:00Z,1.9
LTER,Baltimore,RGHT,mg/L,1204,1999-11-16T00:00:00Z,2017-01-13T00:00:00Z,0.2
LTER,Baltimore,RR1,mg/L,285,1999-11-19T00:00:00Z,2000-08-29T00:00:00Z,1
LTER,Baltimore,RR2,mg/L,285,1999-11-19T00:00:00Z,2000-08-29T00:00:00Z,1
LTER,Baltimore,SL1,mg/L,295,1999-11-19T00:00:00Z,2000-09-08T00:00:00Z,1
LTER,Baltimore,SL2,mg/L,295,1999-11-19T00:00:00Z,2000-09-08T00:00:00Z,1
LTER,Konza,HIKX,mg/L,2067,1994-03-09T00:00:00Z,2000-12-29T00:00:00Z,0.8
LTER,Konza,HOKN,mg/L,1406,1994-04-26T00:00:00Z,2000-08-03T00:00:00Z,0.6
LTER,Konza,KZFL,mg/L,535,1998-03-03T00:00:00Z,1999-08-19T00:00:00Z,1
LTER,Konza,N01B,mg/L,8828,1985-03-13T00:00:00Z,2000-08-01T00:00:00Z,1.6
LTER,Konza,N01B,mg/L,8828,1985-03-13T00:00:00Z,2000-08-01T00:00:00Z,1.6
LTER,Konza,N02B,mg/L,6990,1985-03-19T00:00:00Z,2000-07-15T00:00:00Z,1.2
LTER,Konza,N02B,mg/L,6990,1985-03-19T00:00:00Z,2000-07-15T00:00:00Z,1.2
LTER,Konza,N04D,mg/L,4791,1985-03-13T00:00:00Z,2000-08-03T00:00:00Z,0.9
LTER,Konza,N20B,mg/L,888,1985-09-24T00:00:00Z,2000-07-05T00:00:00Z,0.2
LTER,Konza,NFKC,mg/L,338,1999-01-07T00:00:00Z,2000-07-18T00:00:00Z,0.6
LTER,Konza,SFKC,mg/L,352,1999-01-07T00:00:00Z,2000-08-01T00:00:00Z,0.6
LTER,Konza,TUBE,mg/L,881,1996-10-12T00:00:00Z,2000-07-29T00:00:00Z,0.6
LTER,Niwot,ALBION,mg/L,6100,1996-01-09T00:00:00Z,2009-02-21T00:00:00Z,1.3
LTER,Niwot,ALBION_INLET,mg/L,1466,1996-05-17T00:00:00Z,2004-11-12T00:00:00Z,0.5
LTER,Niwot,FLUME,mg/L,537,2005-06-17T00:00:00Z,2008-11-20T00:00:00Z,0.4
LTER,Niwot,GREEN1,mg/L,1260,1996-05-24T00:00:00Z,2008-11-20T00:00:00Z,0.3
LTER,Niwot,GREEN4,mg/L,4598,1995-05-06T00:00:00Z,2009-02-20T00:00:00Z,0.9
LTER,Niwot,GREEN5,mg/L,1364,1998-05-29T00:00:00Z,2008-11-20T00:00:00Z,0.4
LTER,Niwot,MARTINELLI,mg/L,2931,1995-05-17T00:00:00Z,2008-10-04T00:00:00Z,0.6
LTER,Niwot,NAVAJO,mg/L,1273,1996-06-07T00:00:00Z,2008-10-17T00:00:00Z,0.3
LTER,Niwot,ROCK_GLACIER,mg/L,840,1998-07-17T00:00:00Z,2008-10-04T00:00:00Z,0.2
LTER,Niwot,SADDLE,mg/L,1945,1996-05-24T00:00:00Z,2008-09-19T00:00:00Z,0.4
