Network,Domain,SiteCode,Unit,Observations,FirstRecordUTC,LastRecordUTC,MeanObsPerDay
LTER,Niwot,ALBION_INLET,mg/L,710,2002-05-11T00:00:00Z,2004-05-28T00:00:00Z,0.9
LTER,Niwot,GREEN1,mg/L,264,2002-05-11T00:00:00Z,2003-10-31T00:00:00Z,0.5
LTER,Niwot,GREEN4,mg/L,1157,2002-01-04T00:00:00Z,2011-12-13T00:00:00Z,0.3
LTER,Niwot,GREEN5,mg/L,325,2002-05-07T00:00:00Z,2004-05-28T00:00:00Z,0.4
LTER,Niwot,MARTINELLI,mg/L,462,2002-05-07T00:00:00Z,2004-05-28T00:00:00Z,0.6
LTER,Niwot,NAVAJO,mg/L,272,2002-05-24T00:00:00Z,2003-09-26T00:00:00Z,0.6
LTER,Niwot,ROCK_GLACIER,mg/L,191,2002-06-21T00:00:00Z,2003-10-10T00:00:00Z,0.4
LTER,Niwot,SADDLE,mg/L,288,2002-05-07T00:00:00Z,2004-05-28T00:00:00Z,0.4
LTER,Niwot,SADDLE_007,mg/L,144,2003-05-28T00:00:00Z,2004-05-28T00:00:00Z,0.4
LTER,Niwot,SODDIE,mg/L,75,2003-06-03T00:00:00Z,2004-05-28T00:00:00Z,0.2
LTER,Plum Island Ecosystem,bear_meadow,mg/L,1184,2005-09-30T00:00:00Z,2015-04-15T00:00:00Z,0.3
LTER,Plum Island Ecosystem,cart_creek,mg/L,874,2002-06-10T00:00:00Z,2015-04-06T00:00:00Z,0.2
LTER,Plum Island Ecosystem,ipswich_dam,mg/L,2671,2002-07-07T00:00:00Z,2017-12-01T00:00:00Z,0.5
LTER,Plum Island Ecosystem,parker_dam,mg/L,2726,2002-06-09T00:00:00Z,2017-12-01T00:00:00Z,0.5
LTER,Plum Island Ecosystem,saw_mill_brook,mg/L,994,2002-06-09T00:00:00Z,2015-03-25T00:00:00Z,0.2
NEON,NEON,ARIK,mg/L,1365,2012-02-01T00:00:00Z,2020-03-11T00:00:00Z,0.5
NEON,NEON,BIGC,mg/L,476,2018-02-20T00:00:00Z,2020-02-12T00:00:00Z,0.7
NEON,NEON,BLDE,mg/L,569,2018-03-14T00:00:00Z,2020-06-30T00:00:00Z,0.7
NEON,NEON,BLUE,mg/L,850,2017-03-09T00:00:00Z,2020-02-12T00:00:00Z,0.8
NEON,NEON,BLWA,mg/L,994,2016-10-05T00:00:00Z,2020-07-10T00:00:00Z,0.7
NEON,NEON,CARI,mg/L,658,2016-10-05T00:00:00Z,2020-07-16T00:00:00Z,0.5
NEON,NEON,COMO,mg/L,927,2015-05-22T00:00:00Z,2020-07-21T00:00:00Z,0.5
NEON,NEON,CUPE,mg/L,1098,2014-12-31T00:00:00Z,2020-07-20T00:00:00Z,0.5
NEON,NEON,FLNT,mg/L,882,2017-03-08T00:00:00Z,2020-06-24T00:00:00Z,0.7
NEON,NEON,GUIL,mg/L,914,2015-01-23T00:00:00Z,2020-07-01T00:00:00Z,0.5
NEON,NEON,HOPB,mg/L,996,2016-10-19T00:00:00Z,2020-06-24T00:00:00Z,0.7
NEON,NEON,KING,mg/L,1159,2015-06-10T00:00:00Z,2020-07-02T00:00:00Z,0.6
NEON,NEON,LECO,mg/L,1051,2015-08-11T00:00:00Z,2020-07-21T00:00:00Z,0.6
NEON,NEON,LEWI,mg/L,1006,2016-10-06T00:00:00Z,2020-07-07T00:00:00Z,0.7
NEON,NEON,MART,mg/L,671,2017-11-08T00:00:00Z,2020-03-20T00:00:00Z,0.8
NEON,NEON,MAYF,mg/L,1299,2014-10-22T00:00:00Z,2020-03-04T00:00:00Z,0.7
NEON,NEON,MCDI,mg/L,983,2016-12-14T00:00:00Z,2020-07-07T00:00:00Z,0.8
NEON,NEON,MCRA,mg/L,695,2017-06-14T00:00:00Z,2020-07-08T00:00:00Z,0.6
NEON,NEON,OKSR,mg/L,513,2017-05-23T00:00:00Z,2020-07-07T00:00:00Z,0.4
NEON,NEON,POSE,mg/L,1279,2014-10-29T00:00:00Z,2020-07-01T00:00:00Z,0.6
NEON,NEON,PRIN,mg/L,811,2016-10-05T00:00:00Z,2020-02-12T00:00:00Z,0.7
NEON,NEON,REDB,mg/L,867,2012-02-04T00:00:00Z,2019-12-04T00:00:00Z,0.3
NEON,NEON,SYCA,mg/L,368,2017-06-21T00:00:00Z,2020-02-18T00:00:00Z,0.4
NEON,NEON,TECR,mg/L,286,2018-10-31T00:00:00Z,2020-07-07T00:00:00Z,0.5
NEON,NEON,TOMB,mg/L,1015,2016-10-12T00:00:00Z,2020-03-20T00:00:00Z,0.8
NEON,NEON,WALK,mg/L,1162,2015-04-14T00:00:00Z,2020-07-07T00:00:00Z,0.6
NEON,NEON,WLOU,mg/L,906,2017-05-03T00:00:00Z,2020-06-30T00:00:00Z,0.8
